sensible	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解
external	adj::外面的，外部的	external environment::外环境¦external force::外力¦external wall::外墙；外堤¦external economy::外部经济¦external pressure::外部压力¦external condition::外在环境，外界条件¦external appearance::外观；外形¦external world::外在世界¦for external use::外用；外用的；外用药¦external application::外用¦external magnetic field::外部磁场，外磁场¦external trade::对外贸易¦external factor::外在因素，外因；外来因素¦external power::外功率，外电源¦external surface::外表面¦external disturbance::外扰，外部干扰¦external form::外形¦external insulation::外绝缘¦external debt::外债¦external cause::外因
sue	vt&vi::控诉，控告；请求	sue for::控告¦sue out::向法院请求得到
haphazard	a&ad::杂乱的(地)，任意的(地)	
allot	v::分配；拨给¦n::部分；小块菜地	
psychiatry	n::精神病学	forensic psychiatry::司法精神病学；法医精神病学
out	adv::of¦adv::line¦with跟::不一致	out of::由于；缺乏；自…离开；用…（材料）¦out for::寻求；[口]力图要；决心要获得¦go out::出去；熄灭；过时¦out with::v. 拿出；赶出¦all out::全力以赴¦go out of::从…出来，离开¦out from under::摆脱危难¦do out::打扫；收拾¦out and out::不折不扣地；彻底地¦out one's way::[口语]就在附近地区¦out and in::进进出出，内外¦do someone out of::◎向某人骗取(或诈取)¦out and away::大大地，远远地
posture	n::姿势，姿态；态度	body posture::体位；姿态；身体姿式
recycle	v::使再循环；回收利用	recycle bin::回收站；资源回收筒¦recycle gas::回注气，循环气
expose	v::揭发, 使暴露，使曝光"	
perception	n::感觉；知觉	visual perception::视觉感知；视知觉¦aesthetic perception::美感，审美观念；审美知觉¦depth perception::[心]深度知觉¦sensory perception::n. 感官知觉¦sense perception::n. 感觉¦motion perception::运动知觉¦spatial perception::空间知觉¦pain perception::痛知觉¦consumer perception::消费者知觉¦extrasensory perception::超感知觉¦perception and understanding::感知与理解¦role perception::角色知觉
paranoia	n::偏执狂；妄想狂	
alongside	ad&prep::在旁，靠近	alongside of::与…并肩；在旁边
canteen	n::食堂；小卖部；餐具箱；水壶	
supreme	adj::最高的；最大的，最重要的	supreme court::最高法院¦supreme commander::最高指挥官；最高统帅；最高司令官¦supreme being::上帝；至高无上的力量¦supreme judicial court::最高上诉法院；最高法院¦supreme council::n. 最高苏维埃
reasonable	adj::明智的；合理的；公平的	reasonable price::合理价格；价格公道¦reasonable distribution::合理级配¦reasonable time::合理期限；适当的时间¦reasonable profit::合理的利润¦reasonable value::合理价值；合理值¦reasonable doubt::合理的怀疑¦reasonable expenses::合理费用¦reasonable excuse::合理解释，合理的辩解
naught	n::=naught无，零	come to naught::失败
unfold	vt&vi::展开，打开	
cushion	n::垫子，坐垫，垫状物¦v::装垫子；缓冲	air cushion::气垫¦seat cushion::弹性座垫¦back cushion::靠背垫¦cushion layer::垫层¦cushion the blow::给垫着点儿；说话绵软一点以免打击过重¦rubber cushion::橡皮缓冲器，橡皮垫¦cushion cap::承台¦cushion cover::垫子套¦cushion rubber::垫层橡胶；缓冲橡胶¦cushion for leaning on::靠垫
mimic	adj::假装的，模仿的，草拟的	mimic warfare::模拟战争
vicinity	n::邻近，附近	in the vicinity of::在…附近；在…上下¦in the vicinity::在附近¦immediate vicinity::紧邻
toss	v&n::扔，掷；摇摆	toss in::[新西兰俚语]放弃；结束¦toss and turn::辗转反侧；翻来覆去难以入睡¦argue the toss::对(决定)提出异议(或辩论)；争论已决定的事，作无谓的争执¦toss a coin::抛硬币决定问题；掷硬币猜正反面的赌博¦toss off::一饮而尽¦toss up::掷钱币决胜负；匆匆准备
refine	v::精炼，提纯；使文雅	refine on::精于；改进
shred	n::碎片；最少量¦v::撕碎	tear to shreds::◎撕碎，扯碎
disperse	v::(使)散开，使疏开，使分散	disperse dye::分散染料¦disperse phase::分散相；分散质¦disperse system::分散体系；分散系统；分散物系
edition	n::版本，版次	new edition::修订版，新版；新版本¦first edition::（书籍、杂志的）初版¦special edition::专刊，号外¦limited edition::发行额有限的限定版（通常为装订精美者）¦revised edition::修订版¦third edition::第三版¦original edition::原版，初版¦school edition::n. 学生版本¦enterprise edition::企业版¦abridged edition::缩编本¦standard edition::标准版¦paperback edition::平装本；平装版本¦current edition::现行版¦professional edition::专业版本¦definitive edition::最终版；选定版；权威版¦bilingual edition::双语版¦deluxe edition::豪华版；精装本¦pocket edition::袖珍本；小型物件
fetter	n&vt::脚镣; 束缚	
renaissance	n::文艺复兴；复兴，勃发	renaissance man::n. 文艺复兴人；多才多艺的人¦early renaissance::[建]早期文艺复兴的艺术风格；文艺复兴初期（1378-1500）¦harlem renaissance::哈莱姆文艺复兴¦high renaissance::文艺复兴盛期¦renaissance humanism::n. 文艺复兴时期的人文主义
proceeding	n::程序，进程；活动，诉讼	legal proceeding::诉讼；法律程序¦civil proceeding::民事（诉讼）程序¦judicial proceeding::司法程序
abridge	v::(书等)删节	
dome	n::圆屋顶	dome structure::穹状构造；穹隆构造；穹窿构造¦geodesic dome::网格状球顶¦dome light::穹顶天窗孔；座舱顶灯
reckon	v::计算	reckon with::处理；对付；和…算帐；预料到¦reckon on::指望；依赖¦reckon in::把…计算在内¦reckon up::计算；合计
rarely	adv::非常地，难得	rarely if ever::几乎从不¦rarely or never::几乎从来不；非常难得
rural	adj::农村的	rural economics::农村经济¦rural area::农村地区；乡郊地区¦rural population::农村人口¦rural community::农村社会；乡村社区¦rural education::农村教育，乡村教育¦rural credit cooperatives::n. 农村信用合作社，农村信用社¦rural life::田园生活；乡村生活；农村生活¦rural environment::农村环境¦rural cooperative medical service::农村合作医疗¦rural migrant workers::农民工¦rural electrification::农村电气化¦rural sociology::田园社会学
imitation	n::模仿，仿造，仿制品，人造	in imitation of::仿效；模仿¦imitation wood::仿制材；人造木
steward	n::乘务员，服务员，组织者	
abound	v::多；富于	abound in::vt. 富于¦abound with::充满
colonial	adj::殖民地的，关于殖民的¦n::殖民地居民	colonial rule::殖民统治¦colonial expansion::殖民扩张
immense	adj::广大的，巨大的	
placard	n::招贴，布告	
client	n::律师等的当事人，委托人；商店的顾客	client service::客户服务；向委托部门提供服务¦client base::客户群；基本顾客¦client side::客户端；使用端¦client application::[计]客户应用程序¦client management::客户管理¦thin client::瘦客户机；瘦客户端；精简型电脑¦client server::客户服务器¦client area::客户区；工作区¦client request::用户请求；客户端请求¦corporate client::法人客户；企业客户¦client agreement::客户协议¦client list::客户名单，客户名录¦client programs::客户程序¦client support::客户支持¦client confidentiality::客户保密的责任；机密性客户机程序¦regular client::常年客户；常年委托人
flavour	n&vt::味，风味，调味，特点	flavour enhancer::鲜味增强剂；香味增强剂
exchange	v&n::交换；兑换	exchange rate::汇率；兑换率¦foreign exchange::外汇；国际汇兑；外国汇票¦stock exchange::证券交易所¦in exchange::作为交换¦exchange for::交换；兑换¦ion exchange::离子交换¦heat exchange::热传导¦in exchange for::作为…的交换¦information exchange::信息交换；情报交流¦cultural exchange::文化交流¦data exchange::数据交换¦exchange with::v. 与…交换¦international exchange::国际汇兑；国际电话局¦exchange market::外汇市场¦exchange reserves::中央银行所持有的自由兑换外汇准备¦cation exchange::[化]阳离子交换¦ion exchange resin::离子交换树脂（多孔合成树脂的总称）¦foreign exchange market::外汇市场，外汇交易市场¦shanghai stock exchange::上海证券交易所¦exchange system::[计]交换系统；交换制
pamphlet	n::小册子	
module	n::量度单位；建筑用的标准部件	control module::控制模块；控制部件¦communication module::[计]通信模块¦display module::显示组件，显示模组¦functional module::功能模块；功能微型组件¦power module::电源模块¦interface module::接口模块¦software module::软件模块；软件模抉¦main module::主模块¦input module::输入模组¦program module::[电]程式模组¦service module::（宇宙飞船的）服务舱，供应舱；业务模块；推进舱¦command module::指挥舱；驾驶舱¦memory module::存储器模块¦solar module::太阳能电池组件；太阳能模组¦lunar module::n. [天]登月舱¦orbital module::轨道舱¦computation module::计算模型；计算组件¦module level::[计]模块级¦load module::寄存信息块；输入程序片；载入模组；装配模块¦basic module::基本模块；基本组件
gentle	adj::文雅的；有礼貌的	gentle breeze::微风；[气象]蒲福三级风¦gentle slope::缓坡；平缓坡度；平缓倾斜¦gentle and soft::温柔¦gentle and quiet::文静的；轻柔的；娴雅文静¦gentle and simple::贵贱¦gentle dip::缓倾斜；平倾斜¦gentle rain::柔和的雨，温柔的雨
annoy	v::使烦恼，使生气	
luminous	adj::发光的；发亮的	luminous efficiency::光视效率¦luminous intensity::发光强度，照度¦luminous flux::n. 光通量（单位为流明lumen）¦luminous paint::发光漆¦luminous source::光源，发光源¦luminous energy::发光能量¦luminous body::发光体
exclaim	v::呼叫，惊叫	
pertinent	adj::贴切的，中肯的	pertinent data::有关资料，相应的资料
certify	v::(发给证书)证明	
revenue	n::(国家的)年收入；税收	tax revenue::税收；赋税收入¦sales revenue::产品销售收入¦revenue and expenditure::收支¦inland revenue::税务局；税收；国内税收¦fiscal revenue::财政收入¦source of revenue::收入来源¦total revenue::总收入¦internal revenue::国内税收¦revenue sharing::收入分享¦marginal revenue::边际收入，边际收益¦revenue stream::收入来源；收益流¦revenue income::收益¦internal revenue service::（美国））国内收入署¦annual revenue::岁入；年度收入¦state revenue::财政收入¦revenue bond::n. 收益公债券¦net revenue::净收入；纯收入¦revenue recognition::收入确认¦revenue account::营业收入帐户；岁入帐；收益帐；进款帐¦average revenue::平均收益
insurance	n::保险	insurance company::保险公司¦medical insurance::医疗保险¦health insurance::健康保险¦life insurance::人寿保险；保险公司偿付的人寿金¦social insurance::社会保险¦insurance industry::保险业¦insurance policy::保险单，保单¦endowment insurance::养老保险¦liability insurance::责任保险（指保险公司负责被保险人依法对他人承担赔偿责任的保险）¦unemployment insurance::失业保险¦insurance business::保险业务¦property insurance::财产保险¦insurance contract::保险契约，保险合同¦insurance premium::保险费¦deposit insurance::存款保险¦insurance fund::保险基金¦insurance law::保险法¦labor insurance::n. 劳保¦insurance coverage::[经]保险责任范围¦pension insurance::养老保险
authority	n::威信；当局；权威；权力	competent authority::[法]主管当局，主管部门¦authority on::有关…的权威；…的专家¦local authority::地方当局；地方政权¦administrative authority::行政当局¦tax authority::税务机关¦public authority::公共机关；政府当局¦in authority::有权；持有权力的地位¦judicial authority::司法机关¦legal authority::法定权威¦central authority::中央集权¦monetary authority::货币当局；金融管理专员¦port authority::港务局¦approval authority::批准机关；核准权¦regulatory authority::管理机构；制定规章的机构；执行机构¦aviation authority::民航当局¦have authority::管理；有管辖权¦limits of authority::税收管理权和权限，权限¦by the authority of::以…的权力；得到…许可¦certificate authority::凭证管理中心；认证授权¦authority control::权限控制；权威控制
endorse	v::背书，签署(姓名)，赞同	
wrap	vt&vi::包裹	wrap up::伪装；使全神贯注；穿暖和的衣服¦under wraps::不公开的；秘密的¦wrap around::adj. 卷绕的，环绕的¦plastic wrap::塑料包裹膜¦gift wrap::n. 缎带做的包装¦bubble wrap::气泡膜外包装材料¦wrap angle::包角¦word wrap::自动换行¦shrink wrap::收缩包裹；热缩塑料包
lenient	adj::宽大的，宽厚的	
pompous	adj::自负的，夸大的	
decorate	v::装饰；油漆；授勋	decorate with::以…来装饰¦decorate the house::装饰房间
infinite	adj::无限的，无穷的	infinite loop::无限循环¦infinite space::无限空间¦infinite variety::多种多样¦infinite bus::无限大容量母线；无限汇流排¦infinite dimensional::无限维的¦infinite medium::无限介质，无限媒质¦infinite distance::无限远距离，无穷远
perplex	v::迷惑，困惑	
snatch	vt&vi::抢夺，迅速获得	snatch at::抓取
sweep	n::扫，扫除；连绵区域¦v::扫除；掠过；连绵	sweep the floor::扫地；清洁地面；清扫地板，拖地板¦sweep away::清除；一扫而空¦sweep efficiency::波及系数¦clean sweep::全胜；快速整理¦frequency sweep::[计]频率扫描¦sweep up::大扫除；收拾干净¦sweep out::清除；扫除¦sweep angle::掠角；扫描角¦sweep down::突袭¦sweep rate::扫描频率；扫描速度
odor	n::气味，香气；臭气	body odor::n. 体臭¦odor control::臭气控制，气味控制；四氟化硅处理¦pungent odor::刺激气味
rip	v&n::撕裂，撕开；扯破	rip off::[俚]偷窃；扯掉；欺诈；剥削¦let rip::[口语]¦rip out::扯掉；狠狠地发出¦rip up::撕碎，撕毁¦let it rip::◎不要担心；别理会后果；听其自然
livestock	n::家畜，牲畜	livestock breeding::畜牧业，畜牧饲养；家畜繁育¦livestock farming::畜牧业；养畜业¦livestock farm::畜牧场；禽畜饲养场；牧场
unlikely	adj::未必的，不大可能的	
signature	n::签名	digital signature::数字签名，数字签字¦specimen signature::签字样本；印鉴样本¦authorized signature::有权签字人的签字¦signature tune::信号曲；音调¦signature line::签名档；帖码线¦signature dishes::招牌菜¦signature card::签名卡；（银行）签字样卡¦key signature::n. 音调符号¦signature analysis::署名特征分析；特征分析；信号分析学；图形分析法
grieve	v::(使)悲痛，(使)伤心	grieve over::哀悼¦grieve for::v. 哀悼
dizzy	adj::使人头晕的，眩晕的	feel dizzy::头晕；感到晕眩
ancestor	n::祖先	ancestor worship::祖先崇拜；祭祖；敬奉祖先
vanish	v::消失	vanish from::从…失去；从…消失¦vanish away::消失
gallery	n::画廊，美术品陈列室；剧场顶层	art gallery::美术馆；画廊¦photo gallery::图片库¦picture gallery::画馆；美术馆¦national art gallery::国家艺术馆¦public gallery::旁听席，公众旁听席¦whispering gallery::[建]回音廊¦shooting gallery::射击场，打靶场
manual	adj::手工的，用手的¦n::手册；便览	manual operation::[计]人工操作；手控¦manual work::手工作业¦manual control::手动控制；人工控制¦manual labor::体力劳动；手工¦instruction manual::安装手册，操作工序说明书；工艺规范¦user manual::使用手册¦manual transmission::手动变速箱；手排档变速箱；人力操纵传动¦manual labour::体力劳动；手工劳动¦operation manual::操作指南；操作手册¦manual arc welding::手工电弧焊¦reference manual::参考手册¦manual mode::手控方式¦quality manual::质量手册；品质手册¦manual welding::人工焊接；手动熔接¦user's manual::用户手册，使用说瞄¦manual valve::手动阀；手控阀¦maintenance manual::维护手册¦manual system::人工系统；手动系统¦manual pump::手动泵¦operating manual::使用说明书
whereas	conj::鉴于；反之	
glare	n&v::眩目地照射，闪耀，瞪视	glare at::怒视
fret	v&n::烦恼，侵蚀	fret over::为…着急
admission	n::准入，接纳，承认	admission of sth::承认¦admission ticket::门票；准考证；入场券¦free admission::赠送券；免费入场券¦admission fee::入场费；入会费；门票费¦call admission control::呼叫允许控制¦no admission::禁止入内¦admission office::招生办，住院处；入院处¦air admission::进气；空气进入¦admission is free::不收门票；免费入场¦letter of admission::录取通知书，入学通知书¦admission of liability::承认负有责任¦admission criteria::录取标准¦admission free::免费入场¦admission charge::入场费
criminal	n::罪犯¦adj::犯罪的，刑事上的	criminal law::刑法¦criminal procedure::刑事诉讼程序¦criminal responsibility::刑事责任¦criminal case::[法]刑事案件，刑事案¦criminal activities::犯罪活动¦criminal court::刑事法庭¦criminal proceedings::[法]刑事诉讼¦criminal liability::刑事责任¦criminal offence::刑事犯罪¦criminal trial::刑事审判¦criminal record::[法]犯罪记录；[法]前科¦criminal action::刑事诉讼¦criminal act::罪行，犯罪行为¦criminal code::[法]刑法，刑法典¦criminal justice system::刑事司法体系；刑事审判系统；刑事法律制度¦criminal offense::犯罪行为，犯罪；刑事犯罪¦criminal psychology::犯罪心理学¦criminal gang::犯罪集团¦war criminal::战犯¦criminal lawyer::刑事律师
drastic	adj::激烈的，猛烈的	
lucid	adj::清楚的，易懂的，神智清醒的	lucid dream::n. 清醒梦；清明梦；清晰梦境
