internship	n::<美>实习医师	internship programs::实习计划；实习课程
toil	v::长时间或辛苦地工作	
scrub	v::用力擦洗，刷洗	body scrub::身体角质；身体磨砂膏¦scrub typhus::恙虫病；洪水热
shear	n::大剪刀	shear stress::[物]剪应力；剪切应力¦shear strength::切变强度¦shear wall::剪力墙；抗震墙，耐震壁；风力墙¦shear zone::剪切区域；剪碎带¦shear rate::剪切率；切变速率¦shear deformation::剪力变形；剪切形变¦shear force::剪力，剪切力¦shear wave::横波；剪波¦shear test::[机]抗剪试验¦shear lag::剪滞；剪力滞后¦flying shear::飞剪；飞剪机；随动剪机¦shear strain::剪切应变¦shear modulus::剪切模量；剪切弹性模数¦shear wall structure::剪力墙（结构墙）结构¦high shear::高剪切¦shear flow::剪切流¦direct shear::直剪；直接剪切¦shear resistance::[流体力学]剪切阻力；剪切强度¦shear failure::剪切破坏；剪破裂；剪切断裂¦wind shear::风切变；乱流
ravage	v::破坏；毁坏¦n::毁坏后的残迹	
crate	n::箱	wooden crate::木箱
fruiterer	n::水果商	
extract	v::榨取	extract from::从…提取，文件的摘录¦water extract::水提取物¦plant extract::植物提取物；植物浸出液¦yeast extract::酵母膏；酵母提取物¦aqueous extract::水提物¦grape seed extract::葡萄籽萃取物；葡萄籽精华¦ginseng extract::人参提取物，人参精华；人蔘萃取液，人参膏¦crude extract::n. 粗提物，\t粗抽提物；粗提取液¦ginkgo biloba extract::[中草药]银杏叶提取物；银杏萃取液；银杏精华；银杏黄酮¦herbal extract::药草浸液；草本提取物；纯天然草本提炼精华¦solvent extract::溶剂抽提物；溶剂提取物¦cucumber extract::黄瓜精华；小黄瓜萃取液¦beef extract::n. 浓缩牛肉汁；牛肉膏¦ether extract::醚提取物¦rosemary extract::迷迭香萃取物；迷迭香精华¦licorice extract::甘草萃取，甘草浸液¦malt extract::麦精，麦芽膏¦liquid extract::流浸膏；流浸膏剂¦vanilla extract::香草精，香草萃¦alcoholic extract::酒精提出物，酒精萃取物
canvas	n::帆布	on the canvas::(拳击等中)被击倒在地；即将失败¦cotton canvas::棉帆布；棉质油画布¦canvas shoes::帆布鞋¦canvas bag::帆布包，帆布垒包；粗帆布包¦under canvas::◎(士兵等)过帐篷生活的，(住)在帐篷里的
garnish	v::装饰，文饰； 给…加配菜	
glistening	adj::闪耀的，反光的	
spiced	adj::含香料的； 五香的	spice of life::生活的调味品；使人高兴的事¦spice girls::英国辣妹组合¦spice islands::香料群岛（等于Moluccas，印度尼西亚东北部马鲁古群岛）
baked	adj::烘烤制作的	baked potato::烤马铃薯；烘马铃薯¦baked beans::（加番茄酱等制的）烘豆
brass	n::黄铜	top brass::[口]高级军官；[口]要员；[航海]顶部轴衬¦brass wire::黄铜丝，铜丝¦brass band::n. 军乐队；黄铜带；吹奏乐队¦brass tacks::基本事实；事实真相；黄铜平头钉¦brass ball::黄铜球¦brass instrument::铜管乐器¦brass plate::n. 黄铜名牌¦brass ball valve::黄铜球阀¦brass alloy::黄铜合金¦brass ring::黄铜圈¦antique brass::古铜色¦brass casting::黄铜铸造；黄铜铸件¦brass fittings::黄铜配件¦yellow brass::黄铜，铜锌合金¦brass plated::镀黄铜
liquor	n::酒，烈性酒	black liquor::[化]黑液；纸浆黑液¦in liquor::带有醉意，喝醉¦mother liquor::母液¦waste liquor::废液¦alkali liquor::碱液¦liquor store::贩酒店¦spent liquor::废液¦hard liquor::烈性酒；蒸馏酒¦alcoholic liquor::[医]醇制溶液；含醇液¦white liquor::白液（多数来源于造纸厂）¦liquor ratio::浴比¦medicinal liquor::药酒；酒剂¦acid liquor::酸液¦green liquor::绿液¦leach liquor::沥滤液，浸出液；浸提液¦red liquor::[美国俚语]烈酒(尤指威士忌)¦filter liquor::滤液¦corn steep liquor::玉米浆
orchestra	n::管弦乐队	symphony orchestra::交响乐团¦philharmonic orchestra::爱乐乐团，爱乐团；管弦乐团¦chamber orchestra::室内管弦乐队¦boston symphony orchestra::波士顿交响乐团
gaudy	adj::花哨的	
permeate	vt&vi::弥漫； 遍布；感染，传播； 渗入	permeate through::渗透入；透过
perish	v::死亡，丧生	perish the thought::打消念头
penetrate	v::穿透，刺入； 渗入	penetrate into::刺入；透入¦penetrate through::穿透
perpetrate	v::犯（罪）； 做（恶）	
innuendo	n::暗讽，讽刺； 影射	
prodigality	n::浪费；慷慨；丰富	
swell	vt&vi::增强； 肿胀； 膨胀	swell up::润胀，膨胀¦swell with::膨胀；充满
hush	vt&vi::（使）安静下来¦n::安静，寂静	hush money::堵嘴钱；封口钱¦hush puppies::（美）油炸玉米饼¦hush up::肃静；掩盖，防止…张扬出去
obligingly	adv::亲切地	
erroneous	adj::错误的	
understudy	n::预备演员，替角	
chauffeur	n::受雇于人的汽车司机	
peculiar	adj::奇怪的，古怪的； 异常的	peculiar institution::n. 旧时美国南部的黑奴制度
flannel	n::法兰绒，绒布	flannel shirt::法兰绒衬衫；法兰绒上衣
earnest	adj::热心的； 诚挚的	in earnest::认真的；诚挚地；正经的¦in real earnest::adv. 认真地¦in sad earnest::[古语]十分严肃地，一本正经地
agonizingly	adv::使人烦恼地；苦闷地	
vicinity	n::附近，邻近； 附近地区	in the vicinity of::在…附近；在…上下¦in the vicinity::在附近¦immediate vicinity::紧邻
dizzy	adj::头昏眼花的	feel dizzy::头晕；感到晕眩
dreadful	adj::可怕的； 令人畏惧的	
whereabouts	adv::在什么地方	
vehemently	adv::竭尽全力地	
purposeless	adj::无目的的	
coin	v::创造	gold coin::金币；小钱¦false coin::n. 假币¦silver coin::银币¦copper coin::n. 铜币¦flip a coin::抛钱币（决定）¦toss a coin::抛硬币决定问题；掷硬币猜正反面的赌博¦coin money::vi. 暴富；获暴利¦current coin::◎通货(指铸币)¦coin purse::装硬币的钱包；钱包；零钱袋¦commemorative coin::纪念币
legitimate	adj::合法的，合理的	legitimate authority::法定职权；合法权威¦legitimate interest::合法权益；合法利益¦legitimate income::[经]正当收入
consensual	adj::经双方同意的，一致同意的	
hallucination	n::幻觉，幻想	auditory hallucination::幻听；听幻觉
graphic	adj::图解的，用图表示的	graphic design::平面造型设计；图示设计¦graphic method::图解法；图示法¦graphic designer::美术设计员¦graphic arts::平面艺术（含版画与刻印等）；形象艺术¦graphic display::图形显示；图形显示器，图形显示系统¦graphic representation::图示法¦graphic symbol::图形符号¦graphic model::立体图¦graphic card::图形卡¦graphic artist::艺术家¦graphic presentation::图示¦graphic equalizer::图示均衡器；图表均衡器¦graphic object::[计]图形对象；图形目标
prescient	adj::有先见之明的	
myriad	adj::无数的； 多种的	a myriad of::大量的；无数的
tremendous	adj::极大的, 巨大的	
breach	n::破裂； 缺口；漏洞	breach of contract::违约；违反合同¦material breach::重大违约；实质违约¦breach of trust::[律]违反信托¦breach of duty::失职；违反职责¦anticipatory breach::期前违约¦security breach::安全漏洞¦breach of warranty::违反保证；违背诺言¦breach of faith::背信，违约¦be in breach of::违反¦a clear breach::【航海学】无碍冲刷浪(冲过甲板而未损害物件)¦fundamental breach::根本性违约；重大违约；根本违反合同
prominent	adj::突出的，杰出的	prominent feature::突出特征；显著地物¦prominent character::主要特性
surveillance	n::监视，监控	surveillance system::n. 观测系统，监视系统¦surveillance radar::监视雷达¦electronic surveillance::电子监视¦surveillance ship::侦察船，监视船¦immune surveillance::免疫监督
contractor	n::订约人，承包人	general contractor::总承包人；建筑公司¦project contractor::工程承包；项目承包人¦independent contractor::独立承揽人¦building contractor::建筑承包商¦prime contractor::总承包人；主要承包商
domain	n::范围，领域	domain name::网域名称¦time domain::时域，时间域¦frequency domain::[化]频域；频率范围¦public domain::公共域；公有土地¦domain knowledge::领域知识¦spatial domain::空间域¦domain decomposition::域分解；区域分解¦domain model::域模型；领域模型¦domain name system::［计］域名系统¦domain controller::域控制器¦domain name service::域名服务¦top-level domain::一级域名¦domain theory::领域理论；畴理论¦eminent domain::[律]土地征用权；国家最高支配权¦single domain::单域；单畴；单一网域¦domain wall::畴壁¦magnetic domain::磁畴；磁场范围¦complex domain::复数域¦digital domain::数字领域¦cognitive domain::认知领域
sabotage	n::破坏活动	
affiliate	v::附属于	affiliate marketing::联盟营销；从属营销¦affiliate program::联盟计划；伙伴计划¦affiliate with::v. 交往¦affiliate company::联营公司
controversial	adj::有争议的，引起争议的	
contradictory	adj::矛盾的	
complementary	adj::互补的	complementary function::余函数¦complementary product::补充产品；互补产品¦complementary metal oxide semiconductor::互补金属氧化物半导体¦complementary color::互补色，补色
congruent	adj::符合的； 一致的	
espionage	n::侦察； 间谍活动	industrial espionage::工业间谍；工业谍报活动
anticipate	v::预知；预料	
malicious	adj::恶意的；恶毒的	malicious damage::蓄意损害所造成的损失
geeky	adj::令人讨厌的	
resilient	adj::有复原力的；适应力强的	
vengeance	n::报复，复仇	with a vengeance::adv. 猛烈地；极度地¦take vengeance on someone::向某人报复
bastion	n::堡垒	
mediocre	adj::普通的；平凡的	
mediocrity	n::平庸，平凡；平庸的人	
bloated	adj::浮肿的	
fourfold	adj::四倍的	
pervasive	adv::无处不在地； 遍布地	pervasive computing::普遍计算技术
liberate	v::解放； 释放	
tenure	n::占有（职位，不动产等）;授予…终身职位	land tenure::土地占有制¦tenure of office::任职期¦tenure track::可授予终生职位的聘雇制度¦life tenure::终身任期；终生职¦security of tenure::职位/地位的稳定性；[经]使用期保障
knowingly	adv::特意地； 故意地	
prestige	n::威信，威望，声望	
decisive	adj::决定性的	decisive factor::决定性因素
euphemism	n::委婉语；委婉说法	
analogy	n::类比；类推；类似	by analogy::用类推的方法；同样¦analogy method::类比法；模拟方法¦analogy analysis::类比分析¦on the analogy of::根据…类推¦draw an analogy between::把（二者）加以比较；指出…之间的相似处¦analogy model::模拟模型¦electromechanical analogy::机电模拟
metaphor	n::暗喻，隐喻；比喻说法	
personification	n::人格化；化身；拟人法（一种修辞手法）；象征	
literally	adv::确实地，真正地；逐字地； 照字面地	
douse	v::浇水在…上	
monetary	adj::货币的，金钱的	monetary policy::货币政策¦international monetary fund::国际货币基金组织¦monetary system::货币制度¦international monetary system::国际货币制度¦monetary authority::货币当局；金融管理专员¦monetary unit::[经]货币单位¦tight monetary policy::紧缩的货币政策；紧缩信用政策¦monetary union::货币联盟¦monetary value::货币价值；货币值；币值¦monetary base::[经]货币基础¦fiscal and monetary policy::财政金融政策¦european monetary union::欧洲货币联盟¦monetary crisis::货币危机；金融危机¦prudent monetary policy::稳健的货币政策；谨慎的货币政策¦monetary reward::金钱奖赏；赏金¦monetary policy committee::货币政策委员会¦monetary assets::货币资产¦monetary capital::货币资本；金融资本¦monetary economics::货币经济学
pertinent	adj::有关的	pertinent data::有关资料，相应的资料
drought	n::干旱（时期），旱季	drought resistance::耐旱性，抗旱性¦drought relief::干旱救灾¦drought control::抗旱；防旱
gallon	n::加仑（容量单位）	
warranted	adj::（制造商）担保的，保证的	arrest warrant::逮捕证¦search warrant::［法］搜查证
inference	n::推理； 推断	inference engine::[计]推理机¦statistical inference::[统]统计推断¦inference method::n. 推理方法¦by inference::根据推理¦bayesian inference::贝叶斯推理¦inductive inference::归纳推理¦deductive inference::演绎推理¦inference rule::推理规则
adversarial	adj::敌手的，对手的	
implication	v::涉及	by implication::含蓄地；暗示地
intimate	adj::亲密的，亲近的	intimate relationship::亲密的关系¦intimate friend::知交，知己¦intimate contact::亲密接触
residue	n::残余，残渣	pesticide residue::[药]农药残留（量）¦oil residue::油渣，油残留物；残油¦carbon residue::焦炭残渣；炭渣¦filter residue::[化]滤渣¦amount of residue::残留量¦amino acid residue::氨基酸残基¦quadratic residue::二次剩余¦solid residue::固体残渣
tactics	n::战术； 策略	
dialectical	adj::方言的，辩证的	dialectical materialism::n. 辩证唯物主义
namely	adv::即，也就是说	
paradigm	n::范例，样式	paradigm shift::典范转移；思考模式的转移
polarize	v::使两极分化	
proponent	n::支持者，拥护者	
synch	v::同时发生，同步	
platitude	n::陈词滥调	
pretext	n::借口，托辞	on the pretext of::以...为借口¦find a pretext for::为…找口实
hurdle	n::障碍，困难	hurdle race::n. 障碍竞赛；跳栏赛跑
chastise	v::严惩（某人）	
speculative	adj::投机的； 思考的	speculative capital::投机资本¦speculative knowledge::理论知识¦speculative market::投机市场
tidbit	n::趣闻	
rarity	n::稀有，罕见	
numb	adj::麻木的，失去感觉的	
marijuana	n::大麻	
diarrhea	n::腹泻	infantile diarrhea::幼儿腹泻；婴儿腹泻
sanitation	n::卫生设备，卫生环境	environmental sanitation::环境卫生¦food sanitation::食品卫生¦sanitation worker::环卫工人
frenetic	adj::发狂的，狂热的	
indulgence	n::沉溺；放纵	
extravagant	adj::过度的；浪费的，奢侈的	
plausible	adj::可信的，貌似合理的	
ritual	n::仪式，惯例	ritual dance::仪式之舞；祭祀之舞
corollary	n::必然的结果；推论	corollary equipment::配套设备
instinct	n::本能，天性	by instinct::出于本能¦instinct for::有…的天分；生来就¦on instinct::本能，凭直觉¦killer instinct::杀生本能¦maternal instinct::n. 母性本能¦animal instinct::动物本能；野兽直觉¦basic instinct::本能¦herd instinct::[心]群居本能，群体心理
revelation	n::启示；揭露	
indignant	adj::愤慨的，愤怒的	
docile	adj::温顺的，容易教的	
disobedient	adj::不服从的，违背的	
fickleness	n::浮躁，变化无常	
gratitude	n::感激，感谢	gratitude to sb::感激某人¦express gratitude::表达感谢¦debt of gratitude::人情债
betray	v::出卖，背叛	betray oneself::原形毕露
begrudging	adj::吝惜的；勉强的；妒忌的	
conspire	v::共同促成；密谋	
steadfastness	n::坚定不移	
tenacity	n::固执；不屈不挠	high tenacity::高韧性；高韧度¦breaking tenacity::断裂强度；扯断力
stubbornly	adv::固执地	
totter	v::踉跄，蹒跚	
senile	adj::高龄的，老龄的	senile dementia::[医]老年性痴呆¦senile plaque::老年斑；老人斑
buckle	v::扣住¦n::皮带扣	belt buckle::皮带搭扣；束衣扣¦buckle down::倾全力；开始认真从事¦buckle up::系好安全带；把…扣紧
wheeze	v::喘息，呼哧呼哧的作响	
gasp	v::气喘吁吁	last gasp::最终喘息；奄奄一息¦gasp for breath::呼吸十分困难， 上气不接下气
stern	adj::严厉的，坚定的	stern tube::轴管¦from stem to stern::完全；从头到尾
clutch	n::离合器	in the clutch::[口语]在关键时刻¦electromagnetic clutch::电磁离合器¦clutch at::抓住¦friction clutch::摩擦离合器¦automobile clutch::汽车离合器¦clutch disc::离合器片；离合圆盘¦clutch pedal::离合器踏板；离合皮板¦clutch cover::离合器盖¦overrunning clutch::单向离合器；超速离合器¦clutch plate::离合器片，从动盘¦safety clutch::过载离合器，安全离合器¦automatic clutch::自动离合器¦clutch brake::离合器制动器；离合脾；离合器煞车¦clutch assembly::离合器总成¦clutch housing::离合器壳¦clutch disk::离合器
willful	adj::任性的，有意的	willful misconduct::故意的不良行为 条约法律；渎职
strangle	v::抑制；勒死	
leopard	n::美洲豹	snow leopard::雪豹¦clouded leopard::云豹¦leopard cat::豹猫
crouch	v::蹲伏	
duck	v::弯下身子，低头	roast duck::烤鸭，烧鸭¦peking duck::北京烤鸭；北京鸭¦beijing roast duck::北京烤鸭¦ducks in a row::一致(像鸭子似的一个接着一个)¦donald duck::唐老鸭¦beijing duck::北京烤鸭¦wild duck::n. 野鸭¦lame duck::n. 投机者；无用的人¦mandarin duck::[鸟]鸳鸯¦duck egg::鸭蛋¦duck meat::鸭肉¦duck soup::n. 易事；好欺侮的人¦sitting duck::n. 易被击中的目标；易被欺骗的对象¦dead duck::注定要完蛋的人；没有价值的人或事¦roast beijing duck::北京烤鸭¦muscovy duck::美洲家鸭¦salted duck egg::咸鸭蛋
reckless	adj::鲁莽的	reckless driving::鲁莽驾驶；驾驶疏忽
imperceptibly	adv::察觉不到地	
loop	v&n::环，圈；使成环	closed loop::闭环，闭合环路¦loop control::循环控制¦loop system::环形系统，环状管网；闭合系统¦open loop::开环¦control loop::控制回路，操纵系统¦closed loop system::[计]闭循环系统¦feedback loop::[计]反馈环路，反馈回路¦phase-locked loop::锁相回路¦current loop::[电]电流环路¦hysteresis loop::滞后回线，磁滞回线¦in the loop::在消息圈内；在决策圈内；在参与机密的智囊团内¦closed loop control system::闭环控制系统¦inner loop::内循环；内环路；局部回路¦double loop::双箕；双环路¦phase locked loop::锁相环路，锁相回路¦outer loop::外侧环路；外层循环¦infinite loop::无限循环¦loop filter::回路滤波器¦position loop::位置回路¦single loop::单回路的；单环路
languid	adj::倦怠的，软弱无力的	
hum	v::哼唱	
chorus	n::合唱团	in chorus::一齐，一致，共同；异口同声¦swell the chorus::增加合唱的音量；参加合唱；附和别人意见
squat	adj::蹲着的，矮胖的	squat down::蹲下；坐下
majestically	adv::庄严地，威严地	
shudder	v::发抖，颤栗	
tremble	v::颤抖	
spout	v::喷出	up the spout::无可挽回；在典押中；在困难中¦down spout::下水管；雨落管；水落管；出渣槽
radiator	n::散热器	heat radiator::n. 散热器；热辐射器；散热片¦heating radiator::供暖散热片；热辐射器¦electric radiator::n. 电暖气¦radiator fin::散热片；散热器片¦radiator fan::散热器风扇¦radiator cap::水箱盖；散热器盖¦cast iron radiator::催化燃烧；铸铁制散热器¦radiator grille::水箱，水箱饰罩
crawl	v::匍匐前进	crawl space::慢行通过的空间；供电线或水管等通过的槽隙
stroll	v::散步，漫步	
flush	n::旺盛	flush with::由于…而脸红；因…而兴奋¦flush out::冲掉，排出；驱赶出来¦in the first flush::◎一时兴起¦flush toilet::抽水马桶¦flush water::冲洗水¦flush valve::冲洗阀；冲洗系统活门¦back flush::反冲洗；逆向清洗¦flush type::平面型，嵌入式
ubiquitous	adj::无处无在的，普遍的	ubiquitous computing::普适计算
corridor	n::走廊	long corridor::长廊（颐和园旅游景点之一）
habitat	n::栖息地	habitat destruction::生境破坏；毁坏栖息地¦habitat condition::居住条件
buzzword	n::流行词	
multiple	adj::许多的，多重的	multiple access::[电脑]多路存取；多路访问¦multiple regression::多次回归¦multiple linear regression::多元线性回归；复直线回归¦multiple sclerosis::[医]多发性硬化¦code division multiple access::码分多址联接方式¦multiple myeloma::多发性骨髓瘤¦multiple choice::多项选择，复式选择¦multiple regression analysis::多重回归分析¦multiple criteria::多重准则¦multiple source::多束源¦multiple frequency::倍频；多重频率¦multiple factor::多基因，复因子；多基因¦multiple level::多能级¦multiple line::支线水带线；多重线；复式线¦multiple layer::多层¦multiple point::多点；多重点；三相点¦multiple stage::多级式¦multiple service::多层次服务¦multiple shop::连锁商店（等于chain store）¦integer multiple::整数倍数
spatial	adj::空间的	spatial distribution::空间分布¦spatial data::空间数据¦spatial analysis::空间分析¦spatial resolution::空间分辨率；空间解析度¦spatial pattern::空间格局，空间形态；分布类型，空间模式¦spatial domain::空间域¦spatial variation::空间变化；区域差异¦spatial frequency::空间频率¦spatial relationship::空间关系¦spatial organization::空间组织；空间结构¦spatial filter::空间滤波器；空间频率滤波器¦spatial light modulator::空间光调制器¦spatial planning::空间规划，空间计划¦spatial arrangement::n. 空间布置，空间排列¦spatial interpolation::空间内插，空间插值¦spatial mechanism::空间传动机构¦spatial concept::空间概念¦spatial perception::空间知觉
megacity	n::大城市（人口超过1000万）	
temperate	adj::温和的	temperate zone::[地]温带¦temperate climate::温带气候¦north temperate zone::北温带¦warm temperate zone::暖温带
arid	adj::干旱的	arid area::干旱区¦arid region::干旱区域，干旱地区；干燥区¦arid land::n. 旱地；贫瘠地¦arid climate::干旱地带；干燥气候¦semi arid::adj. 半干燥的¦arid zone::干旱带
compromise	n&v::危害；妥协	reach a compromise::达成妥协¦make a compromise::妥协；折衷；做出让步¦missouri compromise::密苏里妥协案
topography	n::地势，地形学	surface topography::表面形貌学¦karst topography::岩溶地形；岩溶地势；喀斯特地形
homogenize	v::使类同，使一致	
aesthetic	n&adj::美学的，审美的	aesthetic education::美育；审美教育¦aesthetic value::审美价值，美学价值¦aesthetic feeling::美感¦aesthetic appreciation::审美¦aesthetic appearance::式样美观¦aesthetic perception::美感，审美观念；审美知觉¦aesthetic quality::美感质素；感官质量¦aesthetic design::美学设计；美术设计¦aesthetic attitude::审美态度；美感态度¦aesthetic pleasure::审美享受
portable	adj::便携的，手提的	portable computer::便携式计算机¦portable equipment::便携设备，手提设备；移动式设备¦portable type::便携式¦portable water::饮料水；便携式水¦portable system::可移植系统¦portable radio::便携式收音机；便携式无线电台¦portable machine::轻便机器¦portable electronics::便携式电子设备
envision	v::展望，预想	
incorporate	v::合并；体现	incorporate with::合并；混合
heritage	n::遗产	cultural heritage::文化遗产¦natural heritage::自然遗产¦heritage preservation::遗产维护¦heritage foundation::传统基金会；遗产基金会
psycholinguistic	n::心理语言学	
tacit	adj::缄默的，心照不宣的	tacit knowledge::隐性知识；默会知识¦tacit understanding::默契¦tacit agreement::默示协议¦tacit cooperation::配合默契¦tacit approval::默认
explicit	adj::明确的，清楚的；直率的	explicit expression::显式表达式¦explicit knowledge::显性知识；外显知识¦explicit memory::外显记忆¦explicit function::显函数¦explicit formulation::显式
aggression	n::攻击；挑衅	physical aggression::身体攻击
fossil	n::化石	fossil fuel::矿物燃料，化石燃料¦living fossil::[生]活化石；[口]落后于时代的人¦trace fossil::生痕化石；踪迹化石¦fossil oil::石油；化石燃料
skull	n::头盖骨	
outraged	adj::暴怒的	
bizarre	adj::奇怪的	
consensus	n::共识，一致	reach a consensus::达成共识
obedience	n::顺从，服从	in obedience to::遵照¦passive obedience::被动性服从，绝对服从
nurture	v::培养	nature and nurture::先天与后天，遗传与环境；先天遗传说和后天培养说
allocate	v::分配	allocate funds::拨款；分配资金¦allocate for::为…而分配；把…拨给
deteriorating	adj::恶化的	
predisposition	n::倾向	genetic predisposition::遗传素质
coercion	n::威迫，恐吓	
inadvertently	adv::无意地	
advert	v::注意	
propensity	n::倾向	propensity to consume::消费倾向¦marginal propensity::边际倾向¦marginal propensity to consume::[经]边际消费倾向
gratification	n::满足	
arrogant	adj::傲慢无礼的	
irritable	adj::易怒的	irritable bowel syndrome::[医]肠道易激综合症
pinched	adj::憔悴的	feel the pinch::[口]感到经济拮据¦a pinch of::一撮，少许¦pinch roll::夹送辊；导正滚轮；拉辊¦pinch pennies::精打细算¦pinch point::[化]夹点（饱和蒸气与冷却剂最小温差点）¦in a pinch::必要时；在紧要关头¦a pinch of salt::盐少许；一撮盐¦pinch valve::夹管阀；夹紧式胶管阀¦at a pinch::在紧要关头¦pinch roller::压紧轮，紧带轮；挟滚轮
proximity	n::接近	close proximity::极为贴近¦in close proximity to::与…靠得很近，接近¦proximity sensor::近距离传感器¦proximity effect::邻近效应，接近效应；近距离效果¦proximity switch::接近开关，引发开关¦in the proximity of::在……附近
pedantic	adj::学究式的	
conducive	adj::有益的	
monotony	n::单调	
facetiously	adv::开玩笑地	
freckled	adj::有斑的	
flatter	v::谄媚；使高兴	flatter oneself::自鸣得意；自以为是
frill	n&v::装饰	
bunk	n::铺位	bunk bed::双层床
metallic	adj::刺耳的	metallic element::[化]金属元素¦metallic material::[化]金属材料¦metallic luster::金属光泽；金属闪光料¦metallic glass::金属玻璃，玻璃合金¦metallic coating::[化]金属喷涂¦metallic paint::金属漆，金属油漆；金属涂料¦metallic ion::金属离子¦metallic oxide::金属氧化物¦metallic yarn::金银线；金属纱；金银丝¦metallic phase::金相；金属相¦metallic iron::n. 金属铁；精炼铁¦metallic bonding::金属键；金属结合剂¦metallic matrix::金属基体¦metallic soap::金属皂¦metallic copper::金属铜
clamor	n::喧嚣	
profess	v::声称；公开表示	
jolt	v::摇晃	
gregarious	adj::爱交际的	
velocity	n::速度	flow velocity::流速¦velocity field::速度场；流速场¦velocity distribution::速度分布¦wave velocity::波速¦high velocity::高速；高速度¦gas velocity::气流速度¦angular velocity::角速度¦wind velocity::风速；风矢量¦low velocity::低速度¦air velocity::气流速度；风临度¦velocity measurement::速度测量¦velocity of flow::临；流动速度¦group velocity::群速¦particle velocity::粒子速度；质点（振动）速度¦space velocity::空速¦linear velocity::线速度¦constant velocity::匀速；等速度；恒速度¦vibration velocity::振动速度¦critical velocity::临界速度¦average velocity::平均速度
generic	adj::一般的	generic term::通用术语；地理通名¦generic type::类属型¦generic name::属名；总名称；通用名称¦generic algorithm::n. 泛型算法；通用算法¦generic drug::学名药；通用名药；副厂药¦generic programming::泛型编程；范型程序设计
