internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。
foam	fom	fəʊm	n::泡沫	polyurethane foam::聚氨酯泡沫塑料；泡沫聚氨酯；聚氨酯泡沫体；聚乌拉坦泡沫胶¦foam rubber::泡沫橡胶；海绵乳胶¦foam plastic::泡沫塑料；泡沫塑胶¦polystyrene foam::泡沫塑料；泡沫聚苯乙烯¦phenolic foam::[化]酚醛泡沫体¦plastic foam::泡沫塑料¦foam glass::泡沫玻璃；蜂窝状玻璃¦rubber foam::泡沫橡胶；海绵橡胶；多孔橡胶¦rigid foam::硬质泡沫塑料；硬塑胶¦foam drilling fluid::泡沫钻井液¦foam filter::泡沫过滤器¦foam insulation::泡沫绝缘，泡沫绝热¦foam density::泡沫密度¦latex foam::乳胶发泡体¦foam profile::泡沫分布型¦foam concrete::泡沫混凝土；泡沫砼¦cleansing foam::洁面泡沫；洗面乳¦foam cell::泡沫细胞¦foam layer::泡沫层¦flexible foam::弹性泡沫塑料；软泡沫	a foam mattress::海绵橡胶床垫
omnibus	'ɑmnɪbəs	ˈɒmnɪbəs	n::公共汽车		
scamper	'skæmpɚ	ˈskæmpə(r)	v::奔跑		Children scampered off the yellow school bus and into the playground.::孩子们跑下黄颜色的校车，奔跑进了操场。
brisk	brɪsk	brɪsk	adj::快的； 轻快的		a brisk walk::轻快的行走¦They set off at a brisk pace .::他们踏着轻快的步伐上路了。
toil	tɔɪl	tɔɪl	v::长时间或辛苦地工作		People who toiled in dim, dank factories were too exhausted to enjoy their family life.::在阴暗潮湿的工厂里苦作的人们精疲力竭了，无法享受家庭生活。
scrub	skrʌb	skrʌb	v::用力擦洗，刷洗	body scrub::身体角质；身体磨砂膏¦scrub typhus::恙虫病；洪水热	She was on her hands and knees scrubbing the floor.::她正趴着擦地板。¦He scrubbed the dirt off his boots.::他把靴子上的脏土擦掉。¦The table needs to be scrubbed clean .::这桌子要擦干净。
shear	ʃɪr	ʃɪə(r)	n::大剪刀	shear stress::[物]剪应力；剪切应力¦shear strength::切变强度¦shear wall::剪力墙；抗震墙，耐震壁；风力墙¦shear zone::剪切区域；剪碎带¦shear rate::剪切率；切变速率¦shear deformation::剪力变形；剪切形变¦shear force::剪力，剪切力¦shear wave::横波；剪波¦shear test::[机]抗剪试验¦shear lag::剪滞；剪力滞后¦flying shear::飞剪；飞剪机；随动剪机¦shear strain::剪切应变¦shear modulus::剪切模量；剪切弹性模数¦shear wall structure::剪力墙（结构墙）结构¦high shear::高剪切¦shear flow::剪切流¦direct shear::直剪；直接剪切¦shear resistance::[流体力学]剪切阻力；剪切强度¦shear failure::剪切破坏；剪破裂；剪切断裂¦wind shear::风切变；乱流	Trim the shrubs with shears.::用大剪刀修剪这些灌木。
ravage	'rævɪdʒ	ˈrævɪdʒ	v::破坏；毁坏¦n::毁坏后的残迹		a country ravaged by civil war::遭受内战重创的国家¦His health was gradually ravaged by drink and drugs.::酗酒和吸毒渐渐毁了他的健康。
crate	kret	kreɪt	n::箱	wooden crate::木箱	...a pile of wooden crates.::…一堆木制大货箱。
fruiterer	'frutərɚ	ˈfru:tərə(r)	n::水果商		He looked about him for the nearest shops, and found a baker's, a stationer's, and a fruiterer's, a few paces from the crescent.::他在周围寻找最近的店铺，在离开新月小屋几步路的地方，找到了一家面包店、一家文具店和一家水果店。¦Every Friday five crates of oranges and lemons arrived from a fruiterer in New York—every Monday these same oranges and lemons left his back door in a pyramid of pulpless halves.::每星期五，五箱橙子和柠檬从纽约一家水果行送到。每星期一，这些橙子和柠檬变成一座半拉半拉的果皮堆成的小金字塔从他的后门运出去。
extract	'ɛkstrækt	ˈekstrækt	v::榨取	extract from::从…提取，文件的摘录¦water extract::水提取物¦plant extract::植物提取物；植物浸出液¦yeast extract::酵母膏；酵母提取物¦aqueous extract::水提物¦grape seed extract::葡萄籽萃取物；葡萄籽精华¦ginseng extract::人参提取物，人参精华；人蔘萃取液，人参膏¦crude extract::n. 粗提物，\t粗抽提物；粗提取液¦ginkgo biloba extract::[中草药]银杏叶提取物；银杏萃取液；银杏精华；银杏黄酮¦herbal extract::药草浸液；草本提取物；纯天然草本提炼精华¦solvent extract::溶剂抽提物；溶剂提取物¦cucumber extract::黄瓜精华；小黄瓜萃取液¦beef extract::n. 浓缩牛肉汁；牛肉膏¦ether extract::醚提取物¦rosemary extract::迷迭香萃取物；迷迭香精华¦licorice extract::甘草萃取，甘草浸液¦malt extract::麦精，麦芽膏¦liquid extract::流浸膏；流浸膏剂¦vanilla extract::香草精，香草萃¦alcoholic extract::酒精提出物，酒精萃取物	You’ll have to have that tooth extracted.::你得把那颗牙拔掉。
canvas	'kænvəs	ˈkænvəs	n::帆布	on the canvas::(拳击等中)被击倒在地；即将失败¦cotton canvas::棉帆布；棉质油画布¦canvas shoes::帆布鞋¦canvas bag::帆布包，帆布垒包；粗帆布包¦under canvas::◎(士兵等)过帐篷生活的，(住)在帐篷里的	a canvas bag::帆布包
garnish	'gɑrnɪʃ	ˈgɑ:nɪʃ	v::装饰，文饰； 给…加配菜		She had finished the vegetables and was garnishing the roast.::她已经做好了蔬菜，正给烤肉配饰菜。
glistening	'gli:sniŋ	'glɪstnɪŋ	adj::闪耀的，反光的		It shall not be a glistening film that covers a wound, but an eyelid that guards the eye.::它不应是遮掩伤口的闪亮的薄膜，而应是保护眼睛的眼睑。¦In the shallow waters off Hokkaido, a barbed poacher crawls across glistening volcanic sand on spiny pectoral fins.::在北海道外的浅水水域，一只带刺的入侵者利用胸鳍刺爬过闪亮的火山砂。¦After all these years and so many changes, however, the main focus of the FIFA World Cup™ remains the same - the glistening golden trophy, which is the embodiment of every footballer's ambition.::在经历了这么多年的发展和改变，然而FIFA世界杯的主旨仍然没有改变，那就是--闪耀的冠军金杯，每个足球选手的雄心的化身。
spiced	spaɪst	spaɪst	adj::含香料的； 五香的	spice of life::生活的调味品；使人高兴的事¦spice girls::英国辣妹组合¦spice islands::香料群岛（等于Moluccas，印度尼西亚东北部马鲁古群岛）	Every dish was served heavily spiced.::每道菜端上来都是加过很多香料的。
baked	bekt	beɪkt	adj::烘烤制作的	baked potato::烤马铃薯；烘马铃薯¦baked beans::（加番茄酱等制的）烘豆	
brass	bræs	brɑ:s	n::黄铜	top brass::[口]高级军官；[口]要员；[航海]顶部轴衬¦brass wire::黄铜丝，铜丝¦brass band::n. 军乐队；黄铜带；吹奏乐队¦brass tacks::基本事实；事实真相；黄铜平头钉¦brass ball::黄铜球¦brass instrument::铜管乐器¦brass plate::n. 黄铜名牌¦brass ball valve::黄铜球阀¦brass alloy::黄铜合金¦brass ring::黄铜圈¦antique brass::古铜色¦brass casting::黄铜铸造；黄铜铸件¦brass fittings::黄铜配件¦yellow brass::黄铜，铜锌合金¦brass plated::镀黄铜	an old brass bedstead::老式黄铜床架
liquor	'lɪkɚ	ˈlɪkə(r)	n::酒，烈性酒	black liquor::[化]黑液；纸浆黑液¦in liquor::带有醉意，喝醉¦mother liquor::母液¦waste liquor::废液¦alkali liquor::碱液¦liquor store::贩酒店¦spent liquor::废液¦hard liquor::烈性酒；蒸馏酒¦alcoholic liquor::[医]醇制溶液；含醇液¦white liquor::白液（多数来源于造纸厂）¦liquor ratio::浴比¦medicinal liquor::药酒；酒剂¦acid liquor::酸液¦green liquor::绿液¦leach liquor::沥滤液，浸出液；浸提液¦red liquor::[美国俚语]烈酒(尤指威士忌)¦filter liquor::滤液¦corn steep liquor::玉米浆	The room was filled with cases of liquor.::房间里满是一箱箱的烈性酒。
orchestra	'ɔrkɪstrə	ˈɔ:kɪstrə	n::管弦乐队	symphony orchestra::交响乐团¦philharmonic orchestra::爱乐乐团，爱乐团；管弦乐团¦chamber orchestra::室内管弦乐队¦boston symphony orchestra::波士顿交响乐团	He directed an orchestra.::他指挥一个管弦乐队。¦She conducted an orchestra of forty instruments.::她在一个拥有40种乐器的管弦乐队里当指挥。
gaudy	'gɔdi	ˈgɔ:di	adj::花哨的		gaudy jewelry::俗丽的珠宝
permeate	'pɝmɪet	ˈpɜ:mieɪt	vt&vi::弥漫； 遍布；感染，传播； 渗入	permeate through::渗透入；透过	The smell of diesel oil permeated the air.::空气里充斥着柴油的气味。
perish	'pɛrɪʃ	ˈperɪʃ	v::死亡，丧生	perish the thought::打消念头	Hundreds perished when the ship went down.::轮船沉没，数百人罹难。
penetrate	'pɛnətret	ˈpenɪtreɪt	v::穿透，刺入； 渗入	penetrate into::刺入；透入¦penetrate through::穿透	bullets that penetrate thick armour plating::穿过厚装甲的子弹¦Sunlight barely penetrated the dirty windows.::阳光几乎照不进那些肮脏的窗户。
perpetrate	'pɝpətret	ˈpɜ:pətreɪt	v::犯（罪）； 做（恶）		Who could have perpetrated such a dreadful crime?::谁会犯下如此可怕的罪行？
innuendo	,ɪnju'ɛndo	ˌɪnjuˈendəʊ	n::暗讽，讽刺； 影射		His writing is full of sexual innuendoes.::他的作品充满了挑逗性的语言。¦a campaign based on rumour, innuendo, and gossip::以谣言、影射和流言蜚语为内容的宣传活动
prodigality		,prɒdɪ'ɡælətɪ	n::浪费；慷慨；丰富		
swell	swɛl	swel	vt&vi::增强； 肿胀； 膨胀	swell up::润胀，膨胀¦swell with::膨胀；充满	Her ankle was already starting to swell.::她的脚踝已经开始肿起来了。¦The window frame was swollen shut.::窗框膨胀变形，关得死死的。
hush	hʌʃ	hʌʃ	vt&vi::（使）安静下来¦n::安静，寂静	hush money::堵嘴钱；封口钱¦hush puppies::（美）油炸玉米饼¦hush up::肃静；掩盖，防止…张扬出去	Ella asked them to hush their voices.::埃拉叫他们别作声。
obligingly		ə'blaidʒiŋli	adv::亲切地		We had just come home from a good tromp in the bush and he was just getting comfortable when, very obligingly, he posed for me.::我们刚从灌木丛中回家。 他变得惬意起来，还亲切地在我面前摆起了姿势。¦Fresh from her interviews with Japanese media, she obligingly retold the story, for what must be the thousandth time, of how she built her brand like it’s a fresh tale for her.::虽然刚刚结束日本媒体的采访，羽西又亲切地给我讲述了一遍她创立品牌的故事。 这个故事她肯定向他人讲述了一千多遍，但她仍然像第一次讲述那样激动。
erroneous	ɪ'ronɪəs	ɪˈrəʊniəs	adj::错误的		His economic predictions are based on some erroneous assumptions.::他的经济预测是基于错误假设之上的。
understudy	'ʌndə,stʌdi	ˈʌndəstʌdi	n::预备演员，替角		He was an understudy to Charlie Chaplin on a tour of the U.S.::他曾是查理•卓别林美国巡演的替角。
chauffeur	ʃo'fɝ	ˈʃəʊfə(r)	n::受雇于人的汽车司机		In the service of the empress, this inept chauffeur faced no legal sanction for the mishap.::由于服侍太后，这位无能的司机在这场车祸中没有受到任何法律的制裁。
peculiar	pɪ'kjulɪɚ	pɪˈkju:liə(r)	adj::奇怪的，古怪的； 异常的	peculiar institution::n. 旧时美国南部的黑奴制度	There was a peculiar smell in the kitchen.::厨房里有一股怪味。¦Something peculiar is going on.::出了怪事。¦It seems very peculiar that no one noticed Kay had gone.::没有人注意到凯已经走了，这好像很奇怪。
flannel	'flænl	ˈflænl	n::法兰绒，绒布	flannel shirt::法兰绒衬衫；法兰绒上衣	a flannel shirt::法兰绒衬衫
earnest		ˈɜ:nɪst	adj::热心的； 诚挚的	in earnest::认真的；诚挚地；正经的¦in real earnest::adv. 认真地¦in sad earnest::[古语]十分严肃地，一本正经地	a rather earnest young man::相当认真的一个年轻人¦Matthews was in earnest conversation with a young girl.::马修斯在和一个年轻姑娘认真地谈话。¦an earnest desire to offer something useful to society::为社会做贡献的真诚愿望
agonizingly		'ægənaiziŋli	adv::使人烦恼地；苦闷地		
vicinity	və'sɪnəti	vəˈsɪnəti	n::附近，邻近； 附近地区	in the vicinity of::在…附近；在…上下¦in the vicinity::在附近¦immediate vicinity::紧邻	The stolen car was found in the vicinity of the station.::被盗汽车在车站附近被发现。¦There used to be a mill in the vicinity.::附近曾有一座磨坊。
dizzy	'dɪzi	ˈdɪzi	adj::头昏眼花的	feel dizzy::头晕；感到晕眩	The heat and the champagne made him feel dizzy .::高温和香槟酒使他感到眩晕。
dreadful	'drɛdfəl	ˈdredfl	adj::可怕的； 令人畏惧的		a dreadful mistake::可怕的错误
whereabouts	'hwɛrə,baʊts; 'wɛrə,baʊts	ˈweərəbaʊts	adv::在什么地方		Whereabouts do you live?::你住在哪一带？
vehemently	'viəməntli	'vi:iməntli	adv::竭尽全力地		
purposeless	'pɝpəsləs	ˈpɜ:pəsləs	adj::无目的的		hours of purposeless activity::几小时漫无目的的活动
coin	kɔɪn	kɔɪn	v::创造	gold coin::金币；小钱¦false coin::n. 假币¦silver coin::银币¦copper coin::n. 铜币¦flip a coin::抛钱币（决定）¦toss a coin::抛硬币决定问题；掷硬币猜正反面的赌博¦coin money::vi. 暴富；获暴利¦current coin::◎通货(指铸币)¦coin purse::装硬币的钱包；钱包；零钱袋¦commemorative coin::纪念币	The word ‘aromatherapy’ was coined in the 1920s. aromatherapy::（芳香疗法）这个词是在20世纪20年代创造出来的。
legitimate	ləˈdʒɪtəmɪt	lɪˈdʒɪtɪmət	adj::合法的，合理的	legitimate authority::法定职权；合法权威¦legitimate interest::合法权益；合法利益¦legitimate income::[经]正当收入	That’s a perfectly legitimate question.::那个问题完全合乎情理。¦Most scientists believe it is legitimate to use animals in medical research.::大多数科学家认为用动物作医学研究是正当的。
consensual	kən'sɛnʃuəl	kənˈsenʃuəl	adj::经双方同意的，一致同意的		a consensual style of management::一致同意的管理风格
hallucination	hə,lusɪ'neʃən	həˌlu:sɪˈneɪʃn	n::幻觉，幻想	auditory hallucination::幻听；听幻觉	The patients suffered hallucinations caused by the drug.::病人受药物影响产生了幻觉。
graphic	'græfɪk	ˈgræfɪk	adj::图解的，用图表示的	graphic design::平面造型设计；图示设计¦graphic method::图解法；图示法¦graphic designer::美术设计员¦graphic arts::平面艺术（含版画与刻印等）；形象艺术¦graphic display::图形显示；图形显示器，图形显示系统¦graphic representation::图示法¦graphic symbol::图形符号¦graphic model::立体图¦graphic card::图形卡¦graphic artist::艺术家¦graphic presentation::图示¦graphic equalizer::图示均衡器；图表均衡器¦graphic object::[计]图形对象；图形目标	...fine and graphic arts.::…美术与制图艺术。
prescient	'prɛsɪənt	ˈpresiənt	adj::有先见之明的		...an eerily prescient comedy about a populist multimillionaire political candidate.::...围绕一位身价数百万的民粹主义政治候选人的一部喜剧，其预见性近乎诡异。
myriad	'miriəd	ˈmɪriəd	adj::无数的； 多种的	a myriad of::大量的；无数的	the myriad causes of homelessness::导致人们无家可归的种种原因
tremendous	trə'mɛndəs	trəˈmendəs	adj::极大的, 巨大的		Suddenly, there was a tremendous bang, and the whole station shook.::突然一声巨响，整个车站都晃动了。¦She was making a tremendous effort to appear calm.::她竭力表现出平静的样子。¦She praised her husband for the tremendous support he had given her.::她称赞丈夫给了她巨大支持。¦Sales have been tremendous so far this year.::今年到目前为止，销售额十分惊人。¦This plan could save us a tremendous amount of money.::这个计划能给我们节省一大笔钱。
breach	britʃ	bri:tʃiz	n::破裂； 缺口；漏洞	breach of contract::违约；违反合同¦material breach::重大违约；实质违约¦breach of trust::[律]违反信托¦breach of duty::失职；违反职责¦anticipatory breach::期前违约¦security breach::安全漏洞¦breach of warranty::违反保证；违背诺言¦breach of faith::背信，违约¦be in breach of::违反¦a clear breach::【航海学】无碍冲刷浪(冲过甲板而未损害物件)¦fundamental breach::根本性违约；重大违约；根本违反合同	She wanted to help heal the breach between them.::她想帮助他们修复破裂的关系。
prominent	'prɑmɪnənt	ˈprɒmɪnənt	adj::突出的，杰出的	prominent feature::突出特征；显著地物¦prominent character::主要特性	a prominent Russian scientist::杰出的俄罗斯科学家¦The World Cup will have a prominent place on the agenda.::世界杯赛将占据议程表的重要位置。
surveillance	sɝ'veləns	sɜ:ˈveɪləns	n::监视，监控	surveillance system::n. 观测系统，监视系统¦surveillance radar::监视雷达¦electronic surveillance::电子监视¦surveillance ship::侦察船，监视船¦immune surveillance::免疫监督	electronic surveillance equipment::电子监控设备
contractor	kən'træktɚ	kənˈtræktə(r)	n::订约人，承包人	general contractor::总承包人；建筑公司¦project contractor::工程承包；项目承包人¦independent contractor::独立承揽人¦building contractor::建筑承包商¦prime contractor::总承包人；主要承包商	We told the building contractor that we wanted a garage big enough for two cars.::我们告诉建筑承包商，我们想要一个可以停放两辆汽车的车库。
domain	do'men	dəˈmeɪn	n::范围，领域	domain name::网域名称¦time domain::时域，时间域¦frequency domain::[化]频域；频率范围¦public domain::公共域；公有土地¦domain knowledge::领域知识¦spatial domain::空间域¦domain decomposition::域分解；区域分解¦domain model::域模型；领域模型¦domain name system::［计］域名系统¦domain controller::域控制器¦domain name service::域名服务¦top-level domain::一级域名¦domain theory::领域理论；畴理论¦eminent domain::[律]土地征用权；国家最高支配权¦single domain::单域；单畴；单一网域¦domain wall::畴壁¦magnetic domain::磁畴；磁场范围¦complex domain::复数域¦digital domain::数字领域¦cognitive domain::认知领域	Looking after the house was viewed as a woman’s domain.::料理家务被认为是女性的份内之事。
sabotage	,sæbə'tɑʒ	ˈsæbətɑ:ʒ	n::破坏活动		The terrorists were planning acts of sabotage to destabilize the country.::恐怖分子在策划破坏国家安定的行动。¦industrial sabotage::工业破坏活动
affiliate	ə'fɪlɪet	əˈfɪlieɪt	v::附属于	affiliate marketing::联盟营销；从属营销¦affiliate program::联盟计划；伙伴计划¦affiliate with::v. 交往¦affiliate company::联营公司	What of the affiliate groups or the "network of networks"?::那些附属组织或者称“网络的网络”又将怎样？¦Afterwards, data can be shared between and among the root and affiliate registries with the assurance that each given key partition is unique.::这样，在确保每一个给定的键分区是唯一的情况下，根注册中心和附属注册中心之间就可以共享数据了。
controversial	,kɑntrə'vɝʃl	ˌkɒntrəˈvɜ:ʃl	adj::有争议的，引起争议的		the controversial issue of welfare reform::福利改革这一有争议的话题¦a highly controversial (= very controversial ) plan to flood the valley in order to build a dam::一个把山谷淹掉来建造水坝的极具争议的计划¦He is a controversial figure (= person who does controversial things ) in the art world.::他是艺术界极具争议的人物。
contradictory	,kɑntrə'dɪktəri	ˌkɒntrəˈdɪktəri	adj::矛盾的		Customs officials have made a series of contradictory statements about the equipment.::海关官员们对于这种设备做出了一系列相互矛盾的陈述。
complementary	'kɑmplə'mɛntri	ˌkɒmplɪˈmentri	adj::互补的	complementary function::余函数¦complementary product::补充产品；互补产品¦complementary metal oxide semiconductor::互补金属氧化物半导体¦complementary color::互补色，补色	The computer and the human mind have different but complementary abilities.::电脑与人脑各不相同，却又互为补充。
congruent	'kɑŋɡruənt	ˈkɒŋgruənt	adj::符合的； 一致的		They want to work in an organization whose values are congruent with their own.::他们想在一家与他们自己的价值观相同的组织里工作。
espionage	'ɛspɪənɑʒ	ˈespiənɑ:ʒ	n::侦察； 间谍活动	industrial espionage::工业间谍；工业谍报活动	a campaign of industrial espionage against his main rival::针对他主要竞争对手展开的商业间谍活动
anticipate	æn'tɪsə'pet	ænˈtɪsɪpeɪt	v::预知；预料		Sales are better than anticipated.::销量比预期要好。¦A good speaker is able to anticipate an audience’s needs and concerns.::好的演讲者能够预先考虑到听众需要什么、关注什么。
malicious	mə'lɪʃəs	mə'lɪʃəs	adj::恶意的；恶毒的	malicious damage::蓄意损害所造成的损失	a malicious girl::恶毒的女孩
geeky	'ɡi:ki	'ɡiːkɪ	adj::令人讨厌的		“We’ve had millions of transactions to date, and it’s not just geeky nerdy people, it’s everyday consumers,” he said.::“目前我们已经有几百万美元的交易，这不只是令人讨厌的呆板的人，是普通的消费者，”他说。
resilient	rɪ'zɪlɪənt	rɪˈzɪliənt	adj::有复原力的；适应力强的		Children are often very resilient.::儿童的适应力一般都很强。¦The company proved remarkably resilient during the recession.::公司在经济衰退期间表现出惊人的耐挫力。
vengeance	'vɛndʒəns	ˈvendʒəns	n::报复，复仇	with a vengeance::adv. 猛烈地；极度地¦take vengeance on someone::向某人报复	a desire for vengeance::复仇的愿望¦a vow of vengeance::复仇的誓言¦an act of vengeance::复仇的行为
bastion	'bæstɪən	ˈbæstiən	n::堡垒		Pearl Harbor was the principal American bastion in the Pacific.::珍珠港曾是美国在太平洋上的重要军事据点。
mediocre	,midɪ'okɚ	ˌmi:diˈəʊkə(r)	adj::普通的；平凡的		I thought the book was pretty mediocre.::我认为这本书非常一般。¦a mediocre student::能力一般的学生
mediocrity	,mi:di'ɔkrəti, ,med-	ˌmi:diˈɒkrəti	n::平庸，平凡；平庸的人		...the mediocrity of most contemporary literature.::…大多数当代文学作品的平庸。
bloated	'blotɪd	ˈbləʊtɪd	adj::浮肿的		a red bloated face::一张红红的、浮肿的脸¦I feel really bloated after that meal.::吃完那顿饭后，我觉得肚子很鼓。
fourfold	'fɔrfold	ˈfɔ:fəʊld	adj::四倍的		a fourfold increase in price::价格的四倍上涨¦Profits rose fourfold.::利润上升到原来的四倍。
pervasive	pɚ'vesɪv	pəˈveɪsɪv	adv::无处不在地； 遍布地	pervasive computing::普遍计算技术	
liberate	'lɪbə'ret	ˈlɪbəreɪt	v::解放； 释放		A few days later, our armies liberated the city.::几天以后，我军解放了这座城市。
tenure	'tɛnjɚ	ˈtenjə(r)	n::占有（职位，不动产等）;授予…终身职位	land tenure::土地占有制¦tenure of office::任职期¦tenure track::可授予终生职位的聘雇制度¦life tenure::终身任期；终生职¦security of tenure::职位/地位的稳定性；[经]使用期保障	It’s becoming increasingly difficult to acquire academic tenure .::获得终身教职现在越来越难了。
knowingly	'noɪŋli	ˈnəʊɪŋli	adv::特意地； 故意地		The two women smiled knowingly at each other.::两个女人会意地相视一笑。
prestige	prɛ'stidʒ	preˈsti:ʒ	n::威信，威望，声望		The king wanted to enhance his prestige through war.::国王想通过战争来提高自己的威信。¦This little-known British firm has now gained considerable prestige .::这家名不见经传的英国公司如今已经声名鹊起。¦the personal prestige attached to owning a large property::拥有大房子所带来的体面
decisive	dɪ'saɪsɪv	dɪˈsaɪsɪv	adj::决定性的	decisive factor::决定性因素	a decisive leader::果断的领袖
euphemism	'jufəmɪzəm	'juːfəmɪz(ə)m	n::委婉语；委婉说法		‘Pass away’ is a euphemism for ‘die’.::“去世”是“死”的委婉语。
analogy	ə'nælədʒi	ə'nælədʒɪ	n::类比；类推；类似	by analogy::用类推的方法；同样¦analogy method::类比法；模拟方法¦analogy analysis::类比分析¦on the analogy of::根据…类推¦draw an analogy between::把（二者）加以比较；指出…之间的相似处¦analogy model::模拟模型¦electromechanical analogy::机电模拟	The analogy between music and fragrance has stuck.::音乐与香味的类比已经深入人心了。
metaphor	'mɛtəfɚ	'metəfə	n::暗喻，隐喻；比喻说法		She uses some wonderful images and metaphors in her writing.::她在作品中用了一些绝妙的比喻和暗喻。¦a very creative use of metaphor::隐喻的独到运用
personification	pɚ,sɑnɪfɪ'keʃən	pə,sɒnɪfɪ'keɪʃ(ə)n	n::人格化；化身；拟人法（一种修辞手法）；象征		He became the personification of the financial excess of the 1980s.::他成了20世纪80年代金融过热时期的一个典型。
literally	'lɪtərəli	ˈlɪtərəli	adv::确实地，真正地；逐字地； 照字面地		The Olympic Games were watched by literally billions of people.::奥运会确确实实有几十亿人观看。
douse	daʊs	daʊs	v::浇水在…上		The pumps were started and the crew began to douse the fire with water.::抽水机启动了，船员们开始用水将火浇灭。
monetary	'mʌnɪtɛri	ˈmʌnɪtri	adj::货币的，金钱的	monetary policy::货币政策¦international monetary fund::国际货币基金组织¦monetary system::货币制度¦international monetary system::国际货币制度¦monetary authority::货币当局；金融管理专员¦monetary unit::[经]货币单位¦tight monetary policy::紧缩的货币政策；紧缩信用政策¦monetary union::货币联盟¦monetary value::货币价值；货币值；币值¦monetary base::[经]货币基础¦fiscal and monetary policy::财政金融政策¦european monetary union::欧洲货币联盟¦monetary crisis::货币危机；金融危机¦prudent monetary policy::稳健的货币政策；谨慎的货币政策¦monetary reward::金钱奖赏；赏金¦monetary policy committee::货币政策委员会¦monetary assets::货币资产¦monetary capital::货币资本；金融资本¦monetary economics::货币经济学	the government’s tight monetary policy::政府从紧的货币政策¦objects of little monetary value::不值钱的物件
