abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？
abundance	ə'bʌndəns	ə'bʌnd(ə)ns	n::丰富	in abundance::大量的；丰富的；充足的¦an abundance of::adj. 大量的……¦relative abundance::相对多度；元素丰度¦species abundance::物种丰度	This area of Mexico has an abundance of safe beaches and a pleasing climate.::墨西哥的这个地区有大量的安全沙滩与宜人的气候。
abuse	ə'bjus	ə'bjuːz	n&vt::滥用；恶习；辱骂	drug abuse::药物滥用；毒品滥用¦child abuse::虐待儿童，摧残儿童¦substance abuse::物质滥用；滥用药物¦sexual abuse::性虐待¦abuse of power::滥用权力¦alcohol abuse::酒精滥用，酗酒¦physical abuse::躯体虐待；身体伤害；外观损坏¦verbal abuse::言语虐待；口头谩骂；说粗话，用污言秽语¦sex abuse::性虐待（等于sexual abuse）¦emotional abuse::精神虐待	A self-monitoring tax system is clearly open to abuse (=  able to be used wrongly  ) .::自我监督的税收制度明显会被滥用。
academic	,ækə'dɛmɪk	ækə'demɪk	adj::学术的；学校的	academic research::学术研究¦academic circles::学术界¦academic year::学年¦academic achievement::学业成就；学业成绩¦academic performance::学习成绩；学业表现；学术成就¦academic study::学术研究¦academic exchange::学术交流¦academic problem::学术问题¦academic background::学术背景；学历；教育背景¦academic world::学术界¦academic freedom::n. 学术自由¦academic community::学术界；学术社群；高等教育界；高等学校的全体师生员工¦academic journal::学报，学术期刊¦academic degree::学位¦academic atmosphere::n. 学业风气，学习氛围¦academic education::学术教育；文理科教育¦academic work::学术工作；专门著作¦academic writing::论文写作；学术著作¦academic record::学业成绩¦academic discipline::n. 学术科目	He possessed no academic qualifications.::他没有学历。¦a program to raise academic standards::旨在提高学术水平的计划
accelerate	əkˈsɛləˌret	ək'seləreɪt	v::加速，变快		measures to accelerate the rate of economic growth::加快经济增长速度的措施
access	'æksɛs	'ækses	n::通路	access control::访问控制¦have access to::使用；接近；可以利用¦internet access::互联网接入¦easy access::便于检修；容易接近¦market access::市场准入；进入市场；开放市场¦data access::数据存取¦multiple access::[电脑]多路存取；多路访问¦open access::开放存取；开架阅览¦direct access::[计]直接存取¦access network::接入网；接取网络¦broadband access::宽带接入；宽频存取；宽带通信¦network access::网络接入；网络访问¦gain access::获得访问权限¦free access::自由访问；自由存取；自由入口¦remote access::[计]远程访问；远程存取¦get access to::获得；接近；可以使用¦code division multiple access::码分多址联接方式¦random access::随机存取¦public access::公共存取¦database access::数据库存取	Access is by means of a small door on the right.::入口是右边的一扇小门。
accessory	ək'sɛsəri	ək'ses(ə)rɪ	n::同谋者；附件	accessory equipment::辅助设备¦accessory nerve::副神经¦accessory ingredient::助剂；配合剂	bathroom accessories such as mirrors and towel-rails::镜子和毛巾架等浴室配件
air	ɛr	eə	n::空气	in the air::在空中；悬而未决；在流传中；不设防¦air conditioning::空调；空气调节¦air pollution::大气污染，空气污染¦by air::乘飞机；通过航空途径¦air ticket::机票¦fresh air::新鲜空气¦air force::空军¦air conditioner::n. 空调设备；空气调节机¦air flow::气流；空气流量；空气流向¦air temperature::气温，空气温度¦hot air::吹牛；大话¦air pressure::气压；风压¦air compressor::空气压缩机¦on the air::在广播，广播中¦compressed air::压缩空气¦air transport::航空运输¦air condition::空调，空气调节设备¦on air::（无线电）广播的；送风期¦air defense::n. 防空¦air traffic::空中交通，航空运输；飞航	Let’s go outside and get some fresh air.::我们出去呼吸些新鲜空气吧。¦You need to put some air in the tyres.::你得给轮胎充气了。
airing	'ɛrɪŋ	'eərɪŋ	n::通风；讨论	in the air::在空中；悬而未决；在流传中；不设防¦air conditioning::空调；空气调节¦air pollution::大气污染，空气污染¦by air::乘飞机；通过航空途径¦air ticket::机票¦fresh air::新鲜空气¦air force::空军¦air conditioner::n. 空调设备；空气调节机¦air flow::气流；空气流量；空气流向¦air temperature::气温，空气温度¦hot air::吹牛；大话¦air pressure::气压；风压¦air compressor::空气压缩机¦on the air::在广播，广播中¦compressed air::压缩空气¦air transport::航空运输¦air condition::空调，空气调节设备¦on air::（无线电）广播的；送风期¦air defense::n. 防空¦air traffic::空中交通，航空运输；飞航	give them an airing.::把室内盆栽植物搬出去透透气。
aisle	aɪl	aɪl	n::通道	down the aisle::[口语] 沿教堂走道而去(至圣坛举行婚礼)¦aisle seat::n. 靠道座位	Would you like a window seat or an aisle seat (=  seat next to the aisle  ) ?::您想要靠窗的座位还是靠过道的座位？
alarm	ə'lɑrm	ə'lɑːm	n::警报，惊慌¦v::使忧虑	alarm system::报警系统¦fire alarm::火警；火警警报器¦alarm clock::闹钟¦false alarm::假警报；引起一场空喜欢的人¦burglar alarm::防窃报警器；防盗自动警铃¦fire alarm system::火警信号系统；消防警报系统¦alarm bell::警钟；警铃¦anti-theft alarm::防盗警报系统¦false alarm rate::火灾误报率；误警率；虚率¦alarm signal::警报信号¦alarm device::报警装置；告警装置¦gas alarm::气体信号装置；瓦斯报警器；毒气警报¦alarm equipment::报警器，报警信号装置；防盗报警设备¦ring the alarm::拉警报，敲警钟¦burglar alarm system::防盗警钟系统¦automatic fire alarm system::火灾自动报警系统¦alarm circuit::报警电路¦smoke alarm::烟雾报警器¦in alarm::惊慌，担心¦alarm message::报警信息	I forgot to set the burglar alarm.::我忘记打开防盗警报器了。¦Car alarms are always going off in the street.::街上总有汽车警报器在响。¦a sophisticated alarm system::精密的警报系统
album	'ælbəm	'ælbəm	n::集邮册；相片册	photo album::相册；相簿¦debut album::首张专辑；处女专辑¦stamp album::n. 集邮册¦photograph album::相册，影集	a photograph album::相册
alien	ˈeliən,ˈeljən	'eɪlɪən	n&a::外侨；外国人的；不相容的	alien from::相异的	illegal aliens entering the country.::非法入境的外国人
alienate	'eiljəneit	'eɪlɪəneɪt	v::离间，使疏远		The latest tax proposals will alienate many voters.::最新的纳税提案将失去远许多选民的支持。
all	ɔl	ɔːl	adv::完全地¦pron::全部，全体	all the::◎惟一的，仅有的¦all of::adv. 不少于；实足¦in all::总共，合计¦and all::等等；的确；此外；连…一齐都¦all over::到处，遍及；浑身；全部结束¦all over oneself::◎非常高兴；非常满意¦at all::（否定句）根本；究竟¦after all::毕竟；终究¦above all::首先；尤其是¦all in::疲乏到极点¦first of all::adv. 首先¦all of us::我们所有人（情景喜剧）¦all about::到处，各处；关于…的一切¦all along::自始至终，一直¦all for::完全赞成；急于得到¦for all of::就…来说¦all in all::总而言之；头等重要的东西¦that's all::就这样；说完了¦all out::全力以赴¦over all::全面地；遍及	You shouldn’t be sitting here by yourself, all alone.::你不应该一个人孤零零地坐在这儿。¦a strange woman, dressed all in black::一袭黑衣的奇怪女子¦If people want more freedom of choice, then I’m all for it (=  I strongly support it  ) .::如果民众想要更多选择的自由，我完全支持。¦‘It was a dreadful experience.’ ‘Never mind, it’s all over (=  completely finished  ) now.’::“真是一段可怕的经历。”“没关系，现在都过去了。”
apparent	ə'pærənt	ə'pær(ə)nt	adj::明显的，表面上的	apparent viscosity::表观粘度¦apparent density::表观密度；松装密度¦apparent activation energy::表观活化能¦apparent porosity::显气孔率；虚表孔率¦apparent power::视在功率；表观功率¦heir apparent::[律]法定继承人，有确定继承权的人¦apparent area::可视面积，表面面积¦apparent consumption::表面消费（量）¦apparent diffusion coefficient::表观扩散系数¦apparent velocity::视速度；表观速度¦apparent motion::视运动；表观运动；虚表运动¦apparent size::表观细度；形式大小；表观尺寸，视尺寸¦apparent rate::表面费率；名义费率¦apparent brightness::视亮度；表观亮度	The difference in quality was immediately apparent .::质量的差异显而易见。¦He left suddenly, for no apparent reason .::不知什么原因，他突然离开了。
appeal	ə'pil	ə'piːl	vi&n::呼吁，上诉；吸引(力)	appeal for::vt. 恳求，请求；要求¦sex appeal::性感；吸引力¦appeal against::提出上诉¦court of appeal::上诉法院¦have appeal::引人入胜，有吸引力，有魅力¦emotional appeal::情绪感染；感性诉求¦appeal court::上诉法院¦lasting appeal::持久的吸引力；耐玩度¦right of appeal::上诉权；索赔权¦make an appeal::引起兴趣¦notice of appeal::上诉通知书¦appeal board::上诉委员会	The girl’s family have made a public appeal for help to try and catch her killer.::那名遇害女孩的家人吁请公众协助捉拿凶手。
appendix	ə'pɛndɪks	ə'pendɪks	n::附录；阑尾	vermiform appendix::n. 阑尾；蚓突	Christine had to go into hospital to have her appendix out (=  have it removed  ) .::克里丝蒂娜不得不去医院切除阑尾。
appetite	'æpɪtaɪt	'æpɪtaɪt	n::食欲	appetite for::对…的欲望¦loss of appetite::食欲不振¦good appetite::很好的胃口¦risk appetite::风险胃纳¦poor appetite::食欲不振¦appetite for risk::风险偏好；风险容量¦have a good appetite::v. 胃口好	Her husband always had a huge appetite.::她丈夫向来胃口极大。¦Symptoms include tiredness and loss of appetite.::症状包括疲倦和食欲不振。
applaud	ə'plɔd	ə'plɔːd	v::鼓掌欢迎；赞成		The audience applauded loudly.::观众掌声雷动。¦A crowd of 300 supporters warmly applauded her speech.::300名支持者为她的演讲热烈鼓掌。
appliance	ə'plaɪəns	ə'plaɪəns	n::用具，设备，装置	home appliance::家电产品；家用电器¦electric appliance::家用电器；耗电器具¦electrical appliance::电器；电气器具，电气设备；电气用品¦household appliance::家用电器¦appliance industry::器械工业¦household electrical appliance::家用电具，家用电器¦medical appliance::医疗器械¦electrical appliance factory::电工器材厂¦office appliance::办公用品¦kitchen appliance::厨房电器，厨房用具¦lifting appliance::起重机械；起重设备；提升装置；吊具¦heating appliance::加热器	The device most often used to do this is a load balancer, which is an appliance that accepts requests from the outside world and hands them off to the next available application server.::进行这一操作最常用的设备是一个负载均衡器，这是一个从外部接收请求并将它们移交给下一个可用应用程序服务器的装置。¦This provides some of the advantages of an appliance but with the flexibility to distribute as software only, along with the ability to consolidate multiple appliances on the same physical hardware.::这种组合提供了设备的一些好处，同时又具有仅作为软件分发的灵活性，而且还能够将多个设备合并到相同的物理硬件上。
applicant	'æplɪkənt	'æplɪk(ə)nt	n::请求者，申请者	job applicant::求职人员	We have had lots of applicants for these positions.::对这些职位我们已有了很多申请人。
apply	ə'plaɪ	ə'plaɪ	v::要求，申请	apply oneself::减少对…之消耗量；努力，致力于…¦apply for::申请，请求¦apply for a job::求职；申请工作¦apply now::立即应用；马上申请；在线申请¦apply for a visa::申请签证¦apply for a patent::申请专利¦apply in person::亲自申请；亲自询问¦apply to customs::报关¦apply for a position::申请职位；谋职¦apply for reimbursement::报销	We need to apply for planning permission to build a garage.::我们建车库需要申请规划许可。
appointment	ə'pɔɪntmənt	ə'pɒɪntm(ə)nt	n::职位；约会	make an appointment::约会，预约¦make an appointment with::与某人约会¦have an appointment::有约会¦appointment system::委任制¦by appointment::按照约定¦letter of appointment::委任书，聘书¦appointment book::记事簿；预约簿	All consultations are by appointment only .::就诊必须预约。
appraisal	ə'prezl	ə'preɪz(ə)l	n::估价，评价；鉴定	performance appraisal::成绩评价，业绩评价¦real estate appraisal::房地产评估；不动产评估¦assets appraisal::资产评估¦project appraisal::项目评估¦appraisal report::评估报告；[经]估价报告¦land appraisal::土地评价，土地估价；土地鉴定¦investment appraisal::投资评估；投资评价¦resource appraisal::资源估价¦staff appraisal::员工评估	What is needed in such cases is a calm appraisal of the situation.::在此类情况下需要的是对形势的冷静估计。
appreciable	ə'priʃəbl	ə'priːʃəb(ə)l; -ʃɪə-	adj::可见的；明显的		There’s no appreciable change in the patient’s condition.::病人的状况没有明显改变。
appreciate	ə'priʃɪet	ə'priːʃɪeɪt; -sɪ-	v::欣赏，感激；涨价		Thanks ever so much for your help, I really appreciate it.::多谢你的帮助，我真的很感激。¦I appreciate your concern , but honestly, I’m fine.::谢谢你关心，不过说真的，我很好。¦I’d appreciate it if you let me get on with my job.::如果你能让我继续工作，我会非常感激。
apprehension	,æprɪ'hɛnʃən	æprɪ'henʃ(ə)n	n::理解；忧虑		a feeling of apprehension::担忧的心情¦I woke before the alarm, filled with apprehension.::我忧心忡忡，闹钟没响就醒了。
apprentice	ə'prɛntɪs	ə'prentɪs	n::学徒¦v::使当学徒		The apprentice lingered his work.::这个徒弟磨洋工。¦His apprentice always leaves the tools about.::他的徒弟老是乱放工具。¦That would be good for my apprentice to have, complementary.::补充说一下，那会是成为我徒弟的优势。
approach	ə'protʃ	ə'prəʊtʃ	v::接近，着手处理¦n::接近；方法；途径	new approach::新方案；新做法¦an approach to::学习...的入门；学习...的途径¦basic approach::基本方法¦approach with::以…方式处理；向…提出建议¦design approach::设计方法；设计方式¦research approach::研究途径；研究方案¦analysis approach::分析方法；分析研究¦systematic approach::系统观点，系统研究法¦make an approach to::对…进行探讨¦analytical approach::分析方法¦process approach::过程研究法¦alternative approach::变换方法¦system approach::系统方法¦holistic approach::整体分析，整体研究¦direct approach::直接法；直接进场；直接接近法¦approach channel::进港航道；引水渠¦pragmatic approach::实际的方法；重实效的方法¦experimental approach::实验研究法¦systems approach::系统方法；系统论方法¦income approach::收益法；所得方法；入息计算法	As I approached the house, I noticed a light on upstairs.::我走近那幢房子的时候注意到楼上有灯光。¦She heard footsteps approaching.::她听到有脚步声走过来。
appropriate	əˈpropriɪt	ə'prəʊprɪət	adj::合适的	as appropriate::酌情；[拉丁语]视情况而定¦appropriate time::适当时间¦if appropriate::任选地；如果有的话¦appropriate technology::适当的技术；适用技术¦be appropriate for::适合于¦appropriate authority::有关当局	The timing of the announcement was particularly appropriate .::通告发布的时机很合适。¦Where appropriate , I delegate as much work as possible.::只要合适，我就尽量把工作分派出去。¦Mark box 1 or 2, as appropriate .::把方框1和2中的合适者标出来。¦I can assure you that appropriate action will be taken.::我向你保证会采取适当的行动。
approval	əˈpruvl	ə'pruːv(ə)l	n::允许，赞同；批准	approval of::批准；同意¦examination and approval::审查准许¦for approval::提交批准¦approval process::审批流程；审批手续；批准流程¦prior approval::事先批准；预先审批；事前批准；事前许可；预先核准¦subject to approval::需经批准；以确认为准¦final approval::最后核准，最后批准¦approval authority::批准机关；核准权¦approval documents::批准文件¦written approval::书面许可，书面批准¦certificate of approval::合格证；批准证明书¦project approval::立项；项目批准；项目许可¦unanimous approval::一致通过¦official approval::正式批准；官方批准¦on approval::[俚]供试用的；包退换的¦type approval::型式批准¦approval procedure::审核手续；批准程序¦win approval::得到支持，获得通过¦seal of approval::批准印章¦loan approval::贷款批准；放款核准	The president has already given his approval to the plan.::总统已经批准了这个计划。¦It is just three months since we received official approval to go ahead with the project.::三个月前我们刚刚得到正式批准进行这个项目。¦A company cannot be sold without the approval of the shareholders.::没有股东的同意不能出售公司。¦The bill will be submitted for approval by Congress.::这项法案将提交国会通过。¦The President would appoint the Council of Ministers, subject to the approval of the National Assembly.::总统将任命内阁成员，但需经国民议会批准。¦The IMF has given its seal of approval to the government’s economic strategy.::国际货币基金组织已经同意该政府的经济策略。¦appointments requiring parliamentary approval::需经议会批准的任命
approximate	ə'prɑksɪmət	ə'prɒksɪmət	adj::近似的，约略的¦v::接近，近似	approximate solution::[计]近似解¦approximate calculation::近似计算¦approximate method::近似法¦approximate formula::近似公式；近真公式¦approximate value::近似值，近似价值；概算价值¦approximate expression::近似式¦approximate analysis::n. 近似分析¦approximate number::近似数，近似值；大概的数目¦approximate treatment::近似处理；近似计算	What is the approximate number of students in each class?::每个班大致有多少学生？¦These percentages are only approximate.::这些百分比仅仅是近似值。
apt	æpt	æpt	adj::聪明的；合适的；易于的		‘Love at first sight’ is a very apt description of how he felt when he saw her.::用“一见钟情”来形容他见到她时的感觉再恰当不过。
aptitude	ˈæptɪˌtud, -ˌtjud	'æptɪtjuːd	n::才能；能力	aptitude test::能力倾向测验；才能测验；能力测试¦have an aptitude for::有…的才能；有…的天性，有…的自然倾向¦academic aptitude::学术能力倾向；学术才能	
attractive	ə'træktɪv	ə'træktɪv	adj::有吸引力的，讨人喜欢的	attractive appearance::造型美观¦attractive force::引力，吸引力¦attractive designs::款式新颖；款式新奇¦attractive and durable::美观耐用	an attractive young woman::妩媚动人的年轻女子¦Women seem to find him attractive .::女性似乎觉得他很有吸引力。
attribute	ə'trɪbjut	ə'trɪbjuːt	v::归因于¦n::属性；象征；标志	attribute data::属性资料（数据）¦attribute value::属性值¦attribute name::属性名称¦product attribute::产品属性¦physical attribute::身体素质；物理属性	Women tend to attribute their success to external causes such as luck.::女性往往把她们的成功归因于外因，如运气。
auction	'ɔkʃən	'ɔːkʃ(ə)n	n&vt::拍卖	auction house::拍卖行¦at auction::拍卖¦auction market::拍卖市场¦auction sale::拍卖¦public auction::[经]公开拍卖¦dutch auction::荷兰式拍卖；喊价逐步减低的拍卖¦auction price::（法）拍卖价格¦reverse auction::反向拍卖；逆向拍卖¦auction off::v. 拍卖掉；竞卖¦sale by auction::拍卖	The painting is expected to fetch up to $400,000 at auction.::这幅画预计在拍卖会上能卖到40万美元。
audible	'ɔdəbl	'ɔːdɪb(ə)l	adj::听得见的	audible alarm::声音报警，音响报警¦audible sound::n. 可听见的声音	His voice was barely audible (=  could only just be heard  ) above the roar of the crowd.::人声嘈杂，几乎听不见他的说话声。
audience	'ɔdɪəns	'ɔːdɪəns	n::听众，读者；接见	target audience::目标受众；目标观众；目标客户¦audience rating::n. 收视率；视听率¦mass audience::大众受众¦captive audience::受制而走不开的听众或观众¦audience share::收视率；受众份额	The audience began clapping and cheering.::观众开始鼓掌欢呼。¦One member of the audience described the opera as ‘boring’.::有一名观众说这出歌剧“乏味”。
audit	'ɔdɪt	'ɔːdɪt	n&vt::审计；查账	internal audit::内部审计，内部稽核¦audit committee::审计委员会¦audit report::n. 审计报告¦performance audit::业绩审计，绩效审计¦annual audit::年度查账¦national audit office::国家审计署¦external audit::外部（独立）审计¦independent audit::独立审计¦management audit::内部审计；经营审计¦quality audit::质量审核；质量监督¦financial audit::财务审计¦audit trail::审查跟踪，尾随审查；查帐索引；逐位跟踪¦audit evidence::审计证据；查帐证据¦audit fee::审计费；查帐公费¦energy audit::能源审计；能源审核；节能审查¦special audit::特种（专项）审计¦audit procedure::审计程序；查帐程序，检查程序¦compliance audit::合规性审计；符合规章审计；法规符合审计¦social audit::社会审计¦tax audit::税务审计；税务监查	the annual audit::年度审计
audition	ɔ'dɪʃən	ɔː'dɪʃ(ə)n	n::试听；试演；面试	audition for::向…试唱，试演；参加…面试；面试	...an audition for a Broadway musical.::…一部百老汇歌舞剧的试演。
auditorium	,ɔdɪ'tɔrɪəm	ɔːdɪ'tɔːrɪəm	n::会堂；礼堂		...a high school auditorium.::…一所中学的礼堂。
augment	ɔɡ'mɛnt	ɔːg'ment	v::增大，增加		Any surplus was sold to augment their income.::所有多余的东西被售卖一空来增加他们的收入。
aupair			adj::国外来的(姑娘)帮助料理家务换取住宿的		
authentic	ɔ'θɛntɪk	ɔː'θentɪk	adj::真实的，可靠的		an authentic work by Picasso::毕加索的真迹
authoritative	ə'θɔrətetɪv	ɔː'θɒrɪtətɪv; -,teɪtɪv	adj::有权威的；命令的；可靠的	authoritative information::官方消息¦authoritative source::权威人士；权威来源	the most authoritative work on English surnames::有关英语姓氏的最权威著作
authority	ə'θɔrəti	ɔː'θɒrɪtɪ	n::威信；当局；权威；权力	competent authority::[法]主管当局，主管部门¦authority on::有关…的权威；…的专家¦local authority::地方当局；地方政权¦administrative authority::行政当局¦tax authority::税务机关¦public authority::公共机关；政府当局¦in authority::有权；持有权力的地位¦judicial authority::司法机关¦legal authority::法定权威¦central authority::中央集权¦monetary authority::货币当局；金融管理专员¦port authority::港务局¦approval authority::批准机关；核准权¦regulatory authority::管理机构；制定规章的机构；执行机构¦aviation authority::民航当局¦have authority::管理；有管辖权¦limits of authority::税收管理权和权限，权限¦by the authority of::以…的权力；得到…许可¦certificate authority::凭证管理中心；认证授权¦authority control::权限控制；权威控制	an agreement between the US and Colombian authorities::美国和哥伦比亚当局的一份协议
authorize	'ɔθəraɪz	'ɔ:θəraiz	v::授权		an authorized biography::授权传记
automatic	'ɔtə'mætɪk	ɔːtə'mætɪk	adj::自动的，无意识的¦n::小型自动武器	automatic control::自动控制¦automatic control system::自动控制系统¦fully automatic::全自动的¦automatic system::自动系统；自动装置¦full automatic::全自动的¦automatic welding::自动焊接¦automatic transmission::自动换档；自动变速装置；自动驾驶¦automatic detection::自动检测¦automatic machine::自动机床；自动机械¦automatic testing::自动测试；自动校验；自动检验¦automatic test system::自动测试系统¦automatic equipment::自动设备；自动装置¦automatic operation::自动操作；自动运算¦automatic tracking::自动跟踪；自动跟踪仪¦automatic door::自动门¦automatic inspection::自动检查；自动检验¦automatic feed::自动进料¦automatic control theory::自动控制理论¦automatic switching::自动转换；自动开关¦automatic device::自动装置	an automatic weapon::自动武器¦an automatic gearbox::自动变速箱¦My camera is fully automatic .::我的照相机是全自动的。
automation	,ɔtə'meʃən	ɔːtə'meɪʃ(ə)n	n::自动化，自动操作	industrial automation::工业自动化¦office automation::办公自动化¦automation equipment::自动化设备；自动化装置¦degree of automation::自动化程度¦process automation::过程自动化；工序自动化¦building automation::建筑自动化¦factory automation::工厂自动化¦design automation::设计自动化¦production automation::生产自动化¦test automation::测试自动化；自动测试¦full automation::完全自动化¦home automation::[计]家庭自动化¦department of automation::自动化系¦flexible automation::灵活自动化	
automobile	,ɔtəmə'bil	'ɔːtəməbiːl	n::汽车	automobile industry::汽车产业，汽车业；汽车工业¦automobile engine::汽车发动机引擎¦automobile insurance::汽车保险¦automobile factory::汽车厂¦electric automobile::电动汽车¦automobile emission::汽车尾气排放¦automobile manufacturer::汽车制造厂¦automobile clutch::汽车离合器¦automobile tire::汽车轮胎；汽车车胎¦automobile part::汽车零部件¦automobile club::n. 汽车俱乐部¦automobile plant::汽车工厂¦automobile crane::n. 汽车起重机	the automobile industry::汽车工业
autonomy	ɔ'tɑnəmi	ɔː'tɒnəmɪ	n::自治，自治权		campaigners who want greater autonomy for Corsica::希望科西嘉有更多自治权的活动家
auxiliary	ɔːɡ'zɪlɪəri	ɔːg'zɪlɪərɪ; ɒg-	adj::辅助的，协助的	auxiliary equipment::辅助设备，附属设备；备用设备¦auxiliary power::厂用电力¦auxiliary system::辅助系统¦auxiliary material::辅助材料¦auxiliary shaft::副轴；辅助竖井¦auxiliary function::辅助功能；辅助函数¦auxiliary device::辅助装置，辅助设备；附属装置¦auxiliary machinery::辅助机器¦auxiliary machine::辅助机械；备用机器¦auxiliary information::辅助信息¦auxiliary service::附属服务设备；附属服务¦auxiliary verb::助动词¦auxiliary power supply::自备供电设备¦auxiliary engine::辅助动力机¦auxiliary circuit::辅助电路¦textile auxiliary::纺织助剂¦auxiliary storage::辅助存储器（等于auxiliary memory）¦auxiliary power unit (apu)::辅助动力单元¦auxiliary operation::辅助操作¦auxiliary pump::辅助泵	an auxiliary nurse::助理护士¦auxiliary staff::辅助员工
avail	ə'vel	ə'veɪl	v::有益于，有用¦n::用处，利益	to no avail::无效，完全无用¦not avail someone::对某人不起作用¦of no avail::无效；不起作用¦avail of::利用¦without avail::无用；徒劳地¦of avail::有效，有用处	Guests should feel at liberty to avail themselves of your facilities.::客人们应可以随意使用你们的设施。
