adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。
contemporary	kən'tɛmpərɛri	kənˈtemprəri	adj::当代的；同时代的	contemporary art::当代艺术¦contemporary literature::n. 现代文学¦the contemporary era::当代¦contemporary western philosophy::当代西方哲学	She writes a lot of contemporary music for people like Whitney Houston.::她为惠特尼·休斯敦等人创作大量当代音乐作品。
contempt	kən'tɛmpt	kənˈtempt	n::轻视；蔑视	contempt of court::蔑视法庭；对法院的藐视罪¦in contempt of::不顾；不把…放在眼里；藐视¦beneath contempt::卑鄙到极点的	The public is treated with contempt by broadcasters.::公众受到了节目主持人的轻蔑对待。¦How could she have loved a man who so clearly held her in contempt ?::她怎么会爱上一个明显看不起她的男人呢？
crave	krev	kreɪv	v::渴望，热望	crave for::渴望	an insecure child who craves attention::缺乏安全感、渴望被关注的孩子
deprive	dɪ'praɪv	dɪˈpraɪv	v::剥夺，使丧失	deprive of::vt. 剥夺；失去	They've been deprived of the fuel necessary to heat their homes.::他们无法得到住房取暖必需的燃料。
detect	dɪ'tɛkt	dɪˈtekt	v::察觉；侦查		Many forms of cancer can be cured if detected early.::如果发现得早，许多种癌症都可以治愈。
deter	dɪ'tɝ	dɪˈtɜ:(r)	v::阻止，制止		The company’s financial difficulties have deterred potential investors.::该公司的财务困境令潜在的投资者望而却步。
disgrace	dɪs'ɡres	dɪsˈgreɪs	v&n::耻辱	in disgrace::很不讨人喜欢	Smith faced total public disgrace after the incident.::事情发生之后，史密斯声名狼藉。¦His actions brought disgrace on the family.::他的行为让家人蒙羞。¦There was no disgrace in finishing fourth.::得了个第四名没什么丢脸的。
dispel	dɪ'spɛl	dɪˈspel	v::消除（疑虑等）		We want to dispel the myth that you cannot eat well in Britain.::我们要消除在英国吃不好的误解。¦Light poured into the hall, dispelling the shadows.::阳光洒进大厅，驱散了阴影。
dispute	'dɪs'pjʊt	dɪˈspju:t	v::争论；对...提出质疑	dispute resolution::[法律]调解纠纷¦in dispute::在争论中¦labor dispute::劳动争议；劳资纠纷¦dispute about::争论，辩论¦trade dispute::贸易纠纷¦beyond dispute::无疑地；没有争论余地¦labour dispute::劳资争议¦legal dispute::法律纠纷¦dispute settlement body::争端解决机构；争端处理机构；争端解决机制¦under dispute::在争论中¦settle dispute::解决争端；解决争议	What happened next is hotly disputed .::关于后来发生了什么，争论很激烈。
disseminate	dɪ'sɛmɪnet	dɪ'semɪneɪt	v::散布，传播		Her findings have been widely disseminated .::她的发现已广为传播。
dove	dʌv; dov	dʌv	n::鸽		The eagle perched on a nearby branch and said, "You can save the dove, but that means you're starving me.::那只老鹰停在附近的一枝树枝上，说道：“你救了鸽子，就意味着要让我饿肚子。¦As part of the study, due to be unveiled later this month, participants were given the option of being a ‘dove’ and cooperating with others for shared benefit, or taking on the role of a ‘hawk’.::该项研究的具体内容将会在本月末公布，其中的一项内容是一个游戏，参与者可以选择成为“鸽派”的角色， 与他人合作共享利益， 或者成为“鹰派”的角色。¦As ‘hawks' they had the chance to gain more if the other participant chose to be a ‘dove’.::作为鹰派， 他们有机会可以赚得更多， 如果其他的参与者选择成为鸽派。
drag	dræg	dræg	v::拖拽； 吃力地往前拉	drag on::拖延¦drag and drop::拖放¦drag reduction::减阻¦drag coefficient::阻力系数；曳引系数¦drag in::插入讨论中；拉进¦drag force::拖曳力，曳力¦click and drag::单击并拖动¦drag down::向下拖¦aerodynamic drag::空气动力阻力¦friction drag::摩阻；磨擦阻力¦air drag::空气阻力¦drag along::拖着脚走，慢慢地行走¦drag out::拖延¦frictional drag::摩擦阻力；摩擦拽力¦drag link::拉杆¦drag racing::直线加速赛；短程高速赛车；减重短程高速汽车赛；街头飚车（汽车）¦drag torque::阻力矩；曳力矩；拖曳转矩¦drag chain::牵引链¦wave drag::波阻¦drag over::拖过；拖出	He grabbed her arm and dragged her into the room.::他抓住她的手臂把她拖进房间。
ensure	ɪn'ʃʊr	ɪn'ʃʊə(r)	v::保证，确保	ensure public security::保安¦ensure from::v. 保护	facilities to ensure the safety of cyclists::确保骑车人安全的设施
especially	ɪ'spɛʃəli	ɪˈspeʃəli	adv::尤其，特别是	especially english::具有英国特征的	I never liked long walks, especially in winter.::我向来不喜欢长距离散步，尤其在冬天。¦Art books are expensive to produce, especially if they contain colour illustrations.::美术类书籍制作成本很高，尤其是那些带彩色插图的。
expel	ɪk'spɛl	ɪkˈspel	v::驱逐；赶走；把…除名	expel from::v. 驱逐出；开除；排出	More than five-thousand high school students have been expelled for cheating.::五千多名中学生因考试作弊而被开除。
fate	fet	feɪt	n::命运	as sure as fate::千真万确	I wouldn’t wish such a fate on my worst enemy.::就算是我不共戴天的仇敌，我也不希望他遭遇这样的命运。
federal	'fɛdərəl	ˈfedərəl	adj::联邦的	federal reserve::（美国）联邦储备系统¦federal government::联邦政府¦federal law::联邦法律¦federal funds::联邦资金¦federal court::联邦法院¦federal budget::联邦预算¦federal reserve board::（美国）联邦储备金监察小组¦federal communications commission::联邦通信委员会¦federal reserve bank::（美）联邦储备银行¦federal agency::联邦机构；联邦政府机构¦federal bureau of investigation::n. （美）联邦调查局¦federal funds rate::联邦基金利率¦federal deposit insurance corporation::美国联邦存款保险公司¦federal trade commission::联邦贸易委员会，联邦商务委员会（FTC）¦federal republic of germany::德意志联邦共和国¦federal reserve system::（美）联邦准备制度¦federal tax::（美）联邦税¦federal aviation administration::[运输工程]联邦航空管理局¦federal district::联邦特区（联邦政府所在地区，等于Federal District）¦federal express::联邦快递，美国联邦快递公司	Switzerland is a federal republic.::瑞士是一个联邦共和国。
generations	,dʒɛnə'reʃən	ˌdʒenəˈreɪʃnz	n::数代人	alternation of generations::世代交替	...the younger generation of party members.::…较年轻一代的党员。
grit	ɡrɪt	grɪt	n::毅力	grit chamber::沉砂池¦steel grit::钢砂；钢丸；钢粒	If they gave gold medals for grit, Karen would be right up there on the winners' podium.::如果他们颁发毅力金牌，卡伦应该站在领奖台上。
gritty	'grɪti	ˈgrɪti	adj::勇敢的，坚毅的		Henin gave a typically gritty performance, coming back from 4-0 down.::海宁表现出一贯的坚毅，把零比四落后的比分扳回。¦her gritty determination::她那坚定的决心
gutter	'gʌtɚ	ˈgʌtə(r)	n::（路边）排水沟	in the gutter::[美国俚语]	The gutters were blocked and overflowing.::排水沟堵住了，水都溢出来了。
hippie	'hɪpi	ˈhɪpi	n::嬉皮士		He was a hippie: who else drops out of Reed?::他曾是个嬉皮士：不然谁会从里德学院退学？¦The truth is, if one probes just beneath the surface of the bucolic hippie image, one finds a puzzling infatuation with certain forms of outrè technology reaching well back into the early sixties.::事实是，如果我们深入乡野嬉皮士形象的表面之下，便可以发现他们有一种令人费解的、对某些奇怪技术的迷恋，这种迷恋最早始于六十年代初期。¦Clean-cut and favoring a coat and tie these days, he described himself as a ragged “hippie” during his time in Europe.::现在的他轮廓清秀，喜欢穿西服打领带，而在欧洲时，他形容自己是个衣衫褴褛的“嬉皮士”。
immortality	,ɪmɔr'tæləti	ˌɪmɔ:ˈtæləti	n::永生，不朽		the immortality of the soul::灵魂的不朽
indolence	'ɪndələns	'ɪndələns	n::懒惰；懒散		As the Cultural relics department warned, the security technology employed in the museum was seamless, so the major fault lay in the security guards’ irresponsibility and indolence.::正如文物部门警告，目前博物馆安保技术已无懈可击，但最大的漏洞在于人员的意识和责任心，懒惰成性。¦I have seen this happen. Just last week my minor crimes of indolence cost two companies about eighty man-hours.::我见过这样的事，就在上周，我的懒惰导致两家公司多花费了八十工时。
insecure	,ɪnsɪ'kjʊr	ˌɪnsɪˈkjʊə(r)	adj::不安全的		Many of them work in low-paid insecure jobs.::他们当中的许多人都做着薪水低、不稳定的工作。
insure	ɪn'ʃʊr	ɪnˈʃʊə(r)	v::为...上保险	insure against::v. 给……保险以防	Have you insured the contents of your home?::你给家庭财产投保了吗？
loan	lon	ləʊn	n::贷款	on loan::借用；借贷；借调¦bank loan::银行贷款¦mortgage loan::按揭贷款；抵押借款¦loan interest::贷款利息¦student loan::助学贷款¦loan contract::贷款合同¦loan guarantee::贷款担保，借款保证函¦loan period::借期，借书期限；租借期限¦personal loan::n. 个人贷款¦loan repayment::归还贷款，偿还借款¦housing mortgage loan::住房抵押贷款¦loan agreement::贷款协议；借款合同¦interlibrary loan::馆际互借；馆际合作¦loan application::贷款申请¦bad loan::呆帐，坏帐；迟还贷款¦syndicated loan::[经]财团放款¦loan officer::信贷员；贷款人员；信贷主管¦commercial loan::商业贷款¦credit loan::信用贷款¦non-performing loan::不良贷款，不履约贷款；非营运贷款	We obtained a loan from the government.::我们得了一笔政府贷款。¦If you ask him for a loan, he'll come through.::如果你向他贷款，他会满足你的要求的。¦The company won't keep going unless we can get some loan.::除非我们能搞到贷款，否则公司就维持不下去了。
makeshift	'mek'ʃɪft	ˈmeɪkʃɪft	adj::临时替代的； 权宜的		The refugees slept in makeshift tents at the side of the road.::逃难者睡在路边临时搭建的帐篷里。
malnourished	,mæl'nɝɪʃt	ˌmælˈnʌrɪʃt	adj::营养不良的		malnourished children::营养不良的儿童
manifest	'mænɪfɛst	ˈmænɪfest	v::显示，表明	manifest destiny::天定命运¦assembly manifest::[计]程序集清单；装配件清单	The shareholders have manifested their intention to sell the shares.::股东们表明了要出售股票的意图。
manipulate	mə'nɪpjulet	məˈnɪpjuleɪt	v::操纵；巧妙地处理	manipulate data::操作数据	He was one of those men who manipulated people.::他是那种要摆布别人的人。¦You have the constant feeling you are being manipulated.::你总感觉自己是被人控制着的。
Mistletoe	'mɪslto	ˈmɪsltəʊ	n::槲寄生		
muddy	'mʌdi	ˈmʌdi	adj::泥泞的	muddy water::浑水；泥土水	Take your boots off outside if they’re muddy.::要是靴子上都是泥，你就脱在门外吧。¦the muddy waters of the lake::浑浊的湖水
mythology	mɪ'θɑlədʒi	mɪˈθɒlədʒi	n::神话学		characters from classical mythology::古典神话中的人物
neglect	nɪ'glɛkt	nɪˈglekt	v::忽略	neglect of::疏忽¦neglect of duty::玩忽职守；[法]失职；过失责任	She smoked and drank, neglected the children, and left the clothes unmended.::她抽烟喝酒，既不照顾孩子，也不缝补衣服。¦a neglected garden::疏于打理的花园¦The building has been badly neglected.::这栋大楼严重疏于维护。
particularly	pɚ'tɪkjəlɚli	pəˈtɪkjələli	adv::特别地		Steve was in a particularly bad mood when he got back.::史蒂夫回来时情绪特别不好。¦The restaurant is particularly popular with young people.::那家餐厅尤其受到年轻人的欢迎。¦We are hoping to expand our business, particularly in Europe.::我们希望扩大业务，尤其是在欧洲。¦British farmers, particularly those producing lamb, are very worried.::英国农场主，尤其是养羊羔的农场主，非常担忧。
perseverance	,pɝsə'vɪrəns	ˌpɜ:sɪˈvɪərəns	n::毅力		He's a clever man,but fails in perseverance.::他是一个聪明人，但缺乏毅力。¦Their power does not come from rank or title but from intellect and perseverance.::他们的权力并非来自等级或头衔，而是来自他们的智慧和毅力。
presence	'prɛzns	ˈprezns	n::出席	in the presence of::在…面前；有某人在场¦in presence of::提示¦physical presence::实体存在；实际存在¦military presence::军事存在¦internet presence::网上广告¦commercial presence::商业存在	Your presence is requested at the club meeting on Friday.::敬请出席于周五举行的俱乐部会议。
presumably	prɪ'zuməbli	prɪˈzju:məbli	adv::据推测； 大概		It’s raining, which presumably means that your football match will be cancelled.::下雨了，这可能意味着你们的足球比赛要取消。
proclaim	prə'klem	prəˈkleɪm	v::宣告		The President proclaimed the republic’s independence.::总统宣布共和国独立。
promulgate	'prɑmlɡet	ˈprɒmlgeɪt	v::颁布，公布		A new constitution was promulgated last month.::上个月颁布了一部新宪法。
proportion	prə'pɔrʃən	prəˈpɔ:ʃn	n::比例	in proportion::成比例；相称¦a large proportion of::一大部分¦direct proportion::n. 正比；正比例¦out of proportion::不成比例¦mixing proportion::混合比，配合比例¦inverse proportion::n. 比例；反比例¦in proportion as::adv. 按…比例；依…程度而变¦sense of proportion::判断推动轻重缓急的能力¦geometric proportion::等比¦proportion by weight::重量比	The proportion of women in the profession had risen to 17.3%.::从事那个职业的女性比例已经增长到17.3%。
quell	kwɛl	kwel	v::制止，平息，镇压		Troops eventually quelled the unrest.::部队最终镇压了动乱。
repel	rɪ'pɛl	rɪˈpel	v::抵制；使厌恶		The smell repelled him.::这气味让他反感。
represent	,rɛprɪ'zɛnt	ˌreprɪˈzent	v::象征；代表	represent something to oneself::想像出某事物¦represent for::代表；象征	Mr Kobayashi was chosen to represent the company at the conference.::小林先生被选中代表公司出席会议。
reputation	,rɛpju'teʃən	ˌrepjuˈteɪʃn	n::名誉，声望	good reputation::良好声誉¦high reputation::盛誉¦reputation for::名声，名气；以…闻名¦of reputation::有名望的¦business reputation::商业信誉；营业信誉¦by reputation::由(或通过)名声；由于知名度¦bad reputation::n. 坏名声，臭名¦reliable reputation::信誉可靠¦have a reputation for::vt. 出名因（因…而著称）；有…的好名声	Alice Munro has a reputation for being a very depressing writer.::艾丽斯•门罗有文风抑郁的名声。
resemblance	rɪ'zɛmbləns	rɪˈzembləns	n::相似	family resemblance::家族类似性	There was a remarkable resemblance between him and Pete.::他和皮特有一个惊人的相似之处。
scant	skænt	skænt	adj::少量的，不足的	scant of::缺乏…的	The story has received scant attention in the press.::这件事没在报界引起多少注意。¦They produce goods with scant regard for quality.::他们的产品不够重视质量。
shabby	ˈʃæbi	ˈʃæbi	adj::破烂的，衣着寒酸的		a shabby tramp::一个衣衫褴褛的流浪汉
shortlist	'ʃɔ:tlist	ˈʃɔ:tlɪst	v::把…列入候选名单;提名		He was shortlisted for the Nobel Prize for literature several times.::他曾数次获得诺贝尔文学奖提名。
sophisticated	sə'fɪstɪketɪd	səˈfɪstɪkeɪtɪd	adj::复杂的，老于世故的	sophisticated technology::工艺精良¦sophisticated equipment::尖端设备；高级设备	sophisticated software::很先进的软件¦a highly sophisticated weapons system::非常精密的武器系统
source	sɔrs	sɔ:s	n::根源；源头	source code::源代码；源程序¦power source::电源，能源¦light source::光源¦source rock::源岩；生油岩层¦water source::水源¦open source::[计]开放源码；开放资源¦heat source::热源¦data source::数据源，数据发送器¦energy source::安瑞索思（公司名称）¦pollution source::污染源¦point source::点声源¦at source::在产地；在源头¦carbon source::碳源¦current source::电源；电链¦source material::原始资源¦information source::信息源；情报源¦source language::源语言¦signal source::n. 信号源¦voltage source::n. 电压电源¦source area::源区	List all your sources at the end of your essay.::在论文末尾列出你所有资料的出处。
specially	'spɛʃəli	ˈspeʃəli	adv::特意地；专门地	specially invite( or engage)::特聘¦specially good effect::特效	specially trained police dogs::经过专门训练的警犬
specifically	spə'sɪfɪkli	spəˈsɪfɪkli	adv::明确地，具体的	more specifically::更具体地说	advertising that specifically targets children::专门针对儿童的广告
spontaneous	spɑn'tenɪəs	spɒnˈteɪniəs	adj::自发的； 自然的	spontaneous combustion::自燃¦spontaneous emission::[电磁学]自发发射¦spontaneous abortion::自然流产；自发性流产¦amplified spontaneous emission::放大自发射；放大式自发射¦spontaneous ignition::自燃¦spontaneous polarization::自发极化；自然极化¦spontaneous recovery::自然回复（恢复）；自然痊愈¦spontaneous radiation::自发辐射¦spontaneous magnetization::自发磁化；自发磁化强度	The crowd gave a spontaneous cheer.::人群自发地欢呼起来。¦My spontaneous reaction was to run away.::我的本能反应就是逃跑。
sumptuous	'sʌmptʃuəs	ˈsʌmptʃuəs	adj::华丽的；奢侈的		a sumptuous feast::盛宴¦a sumptuous palace::一座富丽堂皇的宫殿
superstition	,supɚ'stɪʃən	ˌsu:pəˈstɪʃn	n::迷信		the old superstition that walking under a ladder is unlucky::认为从梯子下面穿过不吉利的古老迷信
symbolize	'sɪmbəlaɪz	ˈsɪmbəlaɪz	v::象征；用符号代表		Crime often symbolizes a wider social problem.::犯罪问题往往反映出更广泛的社会问题。¦Growing discontent has been symbolized by the protests.::与日俱增的不满通过一次又一次的抗议表现出来。
temporary	'tɛmpə'rɛri	ˈtemprəri	adj::临时的，暂时的	temporary storage::暂时存储器；暂时库容；中间存储器¦temporary work::临时工作；临时工程¦temporary shelter::临时避难所；临时收容中心；临时安置所；临时庇护站¦temporary construction::临时建筑工程；临时结构，临时构筑物¦temporary job::临时性工作¦temporary employment::短工¦temporary file::暂时文件；暂存文件¦temporary housing::临时住房，应急住宅；临时住宿¦temporary suspension::暂停¦temporary road::临时道路¦temporary worker::临时工¦temporary residence permit (card)::暂住证¦temporary provisions::暂行规定¦temporary protection::暂时保护¦temporary block::暂时块；工作单元块¦temporary certificate::临时证书	temporary pain relief::疼痛的暂时缓解¦I’m living with my parents, but it’s only temporary.::我和父母住在一起，但这只是暂时的。¦You might want to consider temporary work until you decide what you want to do.::在你定下来想做什么之前，也许可以考虑干点临时性工作。¦She was employed on a temporary basis .::她是受雇干临时性工作的。
tendency	'tɛndənsi	ˈtendənsi	n::倾向，趋势	development tendency::发展趋势¦tendency to sth::趋向；趋于¦unhealthy tendency::不正之风¦natural tendency::自然趋势¦upward tendency::上涨的趋势；看涨¦bleeding tendency::出血倾向¦central tendency::集中趋势；居中趋向	children with aggressive or anti-social tendencies::具有攻击性倾向或反社会倾向的儿童
thorough	ˈθʌrəʊ; θʌro	ˈθʌrə	adj::彻底的，全面的		The doctor gave him a thorough check-up.::医生给他做了一次全面的体检。¦a thorough and detailed biography::详尽的传记¦The police investigation was very thorough.::警方的调查十分彻底。¦thorough notes of the meeting::详尽的会议记录
tireless	'taɪrləs	ˈtaɪələs	adj::不疲倦的		the tireless efforts of the rescue workers::营救人员坚持不懈的努力
tow	to	təʊ	v::拖，拉； 牵引	in tow::拖着；在一起¦tow truck::n. 拖车；牵引车¦on tow::(车辆等)被拖(带)着	The ship had to be towed into the harbor.::那艘轮船不得不被拖进港口。
valiant	'væljənt	ˈvæliənt	adj::勇敢的，英勇的		Tarr threw himself in front of a train in a valiant effort to save the child.::塔尔勇敢地冲到火车前去救那个小孩。
variable	'vɛrɪəbl	ˈveəriəbl	adj::多变的，易变的	variable speed::变速，可变速率¦random variable::随机变数，随机变量；无规变量¦state variable::[控制系统]状态变量；[热力学]热力学态函数（等于thermodynamic function of state）¦independent variable::自变量；自变数¦dependent variable::因变量；他变数；应变数¦design variable::设计变量¦complex variable::复变数¦control variable::控制变量；决策变量¦local variable::局部变量¦environment variable::环境变量；环境变数¦variable parameter::可变参量¦continuous variable::连续变量¦variable cost::可变成本¦variable pitch::可变螺距；可变节距；变斜度¦variable flow::变速流，变化的流动；异形流动¦output variable::输出变量¦global variable::全局变量，全程变量¦variable data::n. 可变数据¦discrete variable::[数]离散变量¦variable coefficient::变系数；可变系数	Expect variable cloudiness and fog tomorrow.::预计明天多云有雾，天气多变。¦Interest rates can be highly variable.::利率有时会大幅波动。
vigilant	'vɪdʒələnt	ˈvɪdʒɪlənt	adj::警惕的，警醒的		Please remain vigilant at all times and report anything suspicious.::请时刻保持警惕，有可疑情况随时报告。
vigorous	'vɪɡərəs	ˈvɪgərəs	adj::强有力的（运动、活动）精力充沛的		Your dog needs at least 20 minutes of vigorous exercise every day.::你的狗每天需要进行至少20分钟的剧烈运动。¦Environmentalists have begun a vigorous campaign to oppose nuclear dumping in the area.::环保人士已经发动了一场积极的运动，反对在该地区倾倒核废物。¦a vigorous debate::一场激烈的辩论¦Vigorous efforts are being made to find a solution to the problem.::正积极地寻找办法解决这个问题。¦The measures provoked vigorous opposition in right-wing circles.::这些举措激起了右翼群体的强烈反对。
virtual	[ˈvɜ:rtʃuəl]	ˈvɜ:tʃuəl	adj::实质上的，实际上的	virtual reality::虚拟现实¦virtual world::虚拟世界；虚像世界¦virtual machine::虚拟机，虚拟计算机¦virtual memory::虚拟内存¦virtual network::虚拟网络；虚拟网路¦virtual space::虚拟空间；虚域¦virtual organization::虚拟组织；虚拟企业¦virtual work::虚功¦virtual community::虚拟社群；实质上的群体¦virtual storage::虚拟储存器¦virtual function::虚函数；虚拟函数；虛擬函式¦virtual server::虚拟服务器；虚拟伺服器；虚拟主机¦virtual address::虚拟地址¦virtual logistics::虚拟物流¦virtual value::n. 有效值；虚拟价值¦virtual image::[物]虚像¦virtual circuit::虚电路¦virtual office::虚拟办公室；虚拟合作¦virtual disk::虚拟磁盘¦virtual market::虚拟市场；虚拟市集	Argentina came to a virtual standstill while the game was being played.::阿根廷在比赛进行期间全国上下事实上进入了停顿状态。
weapon	'wɛpən	ˈwepən	n::武器	nuclear weapon::核武器¦secret weapon::秘密武器¦lethal weapon::致命凶器¦biological weapon::生物武器，细菌武器¦chemical weapon::化学武器¦automatic weapon::自动武器¦natural weapons::天然武器(爪、牙、拳等)¦weapon control system::武器管理系统；武器控制系统¦conventional weapon::[军]常规武器	They all had sticks which they planned to use as weapons.::他们都持有棍棒，打算当武器用。
welfare	'wɛl'fɛr	ˈwelfeə(r)	n::福利	social welfare::社会福利；社会福利工作（等于social work）¦public welfare::公共福利，公用福利设施；社会福利¦welfare system::福利体系¦welfare state::福利国家¦welfare economics::[经]福利经济学¦economic welfare::经济福利¦welfare lottery::福利彩票¦general welfare::公共福利¦child welfare::儿童福利；保育¦on welfare::接受救济的；接受生活照顾的¦welfare work::福利工作¦welfare fund::n. 福利基金¦public welfare forest::公益林¦welfare facilities::福利设施¦social welfare function::社会福利函数；社会福利功能¦welfare cost::社会福利支出；福利费	Our only concern is the children’s welfare.::我们唯一关心的是孩子们的幸福。
withdraw	wɪð'drɔ	wɪðˈdrɔ:	v::取款	withdraw from::v. 退出；离开¦withdraw money::取钱¦withdraw cash::取现；取钱¦withdraw troops::收兵，撤军	One of the minority parties had withdrawn its support for Chancellor Kohl.::其中一个少数党已不再支持科尔总理。¦Union members will vote on whether to withdraw their labour (= stop working ).::工会会员将投票决定是否罢工。¦a government decision to withdraw funding::政府取消拨款的决定
yearn	jɝn	jɜ:n	v::渴望	yearn for::渴望¦yearn towards::向往…；想念	He yearned for freedom.::他曾渴望自由。
aimless	'emləs	ˈeɪmləs	adj::没有目标的		a young man drifting through life in an aimless way::一个浑浑噩噩度日的年轻人
amateur	ˈæmətər	ˈæmətə(r)	n::外行	amateur radio::业余无线电；业余无线电爱好者	You English are a bunch of amateurs when it comes to romance.::谈情说爱你们英国人就外行了。
amplify	'æmplɪfaɪ	'æmplɪfaɪ	v::放大		an amplified guitar::带有扩音设备的电吉他
arthritis	ɑr'θraɪtɪs	ɑ:ˈθraɪtɪs	n::关节炎	rheumatoid arthritis::风湿性关节炎¦rheumatic arthritis::风湿性关节炎；关节风湿病¦psoriatic arthritis::关节炎，牛皮癣关节炎；银屑病性关节炎	I have a touch of arthritis in the wrist.::我的手腕有轻微关节炎。
artificial	,ɑrtɪ'fɪʃl	ˌɑ:tɪˈfɪʃl	adj::人造的； 人工的	artificial intelligence::人工智能¦artificial leather::人造革¦artificial insemination::人工受精¦artificial stone::人造石¦artificial life::人工生命；人造生命¦artificial heart::[医]人工心脏¦artificial light::人造光¦artificial lake::人工湖；水库；人工蓄水池¦artificial flower::人造花¦artificial aging::人工时效；人工老化；人工硬化¦artificial color::人工色素¦artificial limb::n. 假肢¦artificial marble::人造大理石¦artificial lift::人工升举¦artificial person::[经]法人¦artificial silk::人造丝¦artificial respiration::人工呼吸；人工呼吸急救法¦artificial satellite::人造卫星¦artificial turf::人造草皮¦artificial lighting::[机]人工照明	artificial flowers::假花¦artificial light::人造光¦artificial fertilizers::化肥
