textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本		a biology textbook::一本生物教科书
repeat	rɪ'pit	rɪ'piːt	v::重复；重说；重写；重做	repeat oneself::不自觉地重复¦and repeat::[美国英语]以及返程，打个来回¦repeat order::再订购¦automatic repeat request::自动重发请求¦tandem repeat::串联反复¦repeat back::回答指令，复述¦repeat mode::重复模式	Can you repeat your question?::你能重复一遍你的问题吗？¦Sorry - could you repeat that?::对不起——你能再说一遍吗？¦It is not, I repeat not, my fault.::那不是我的错，我再说一遍，不是。¦‘I promise,’ she repeated.::“我保证。”她又说了一遍。¦Repeat the exercises twice a day.::这套操每天做两次。
note	not	nəʊt	n::笔记；记录¦v::注意；指出	please note::清注意¦of note::著名的，有名的¦editor's note::n. 编者的话；编者按¦take note::注意到；记笔记¦note on::音符开；注释¦take note of::注意；记笔记¦lecture note::讲义，上课笔记¦bank note::纸币；钞票；银行券¦explanatory note::注释；附注¦note down::记录某事¦make a note::作笔记¦promissory note::[商]本票；[商]期票¦personal note::人格底调子；正式照会；个人记事本¦note book::记事本；票据簿¦thank-you note::感谢信；致谢函¦make a note of::把…记下来¦debit note::借项清单；借方通知；收款票¦advice note::通知书，通知单¦taste note::品酒记录¦high note::高音；映象唱片	Can I borrow your lecture notes?::我能不能借用一下你的课堂笔记？¦He carefully noted the time when they left the building.::他们离开大楼的时候，他特别留意了一下时间。¦The judge noted that Miller had no previous criminal record.::法官指出米勒没有犯罪前科。
pal	pæl	pæl	n::朋友；伙伴	pen pal::笔友（等于pen friend）	They talked like old pals.::他们像老朋友一样交谈。
pattern	'pætɚn	'pæt(ə)n	n::模式；方式	pattern recognition::模式识别¦growth pattern::生长模型；生长模式¦flow pattern::流型，流动型态；活动模；流线谱¦distribution pattern::分布格局，分布类型；分布型式，分布型；分配结构¦pattern design::n. 模型设计，图案设计¦regular pattern::正规图样，正常模式¦design pattern::设计模式；设计范式；设计样式¦sentence pattern::句型；句子模式¦spatial pattern::空间格局，空间形态；分布类型，空间模式¦pattern matching::模式匹配¦basic pattern::基本模型；衣服基本纸型¦pattern classification::模式分类¦behavior pattern::行为范型¦diffraction pattern::衍射图样；绕射图¦production pattern::生产纸样；生产形态¦economic pattern::经济模式；经济结构¦fringe pattern::条纹图形，干涉图样¦consumption pattern::消费模式，消费形式¦radiation pattern::辐射方向图，辐射图；辐射高温计¦speckle pattern::散斑图；斑纹图样	Weather patterns have changed in recent years.::气候模式近年已经发生了变化。¦A general pattern began to emerge .::一个总体模式开始显现。¦Their descriptions seemed to follow a set pattern (= always develop in the same way ) .::他们的描述似乎依据固定的模式。¦His behavior fits a pattern of violent acts.::他的举动符合暴力行为的模式。
physics	'fɪzɪks	'fɪzɪks	n::物理；物理学	college physics::大学物理¦nuclear physics::核子物理¦particle physics::粒子物理学¦department of physics::物理系；物理学系¦theoretical physics::理论物理¦applied physics::应用物理学¦medical physics::医学物理学¦mathematical physics::数理物理学¦plasma physics::等离子物理¦general physics::普通物理¦quantum physics::n. 量子物理学；量子力学¦statistical physics::统计物理学¦high energy physics::高能物理学¦atomic physics::n. 原子物理学¦condensed matter physics::凝聚态物理；凝聚物理学¦classical physics::经典物理学¦solid state physics::固体物理，固体物理学¦physics chemistry::物理化学¦physics and astronomy::物理学和天文学¦space physics::空间物理，空间物理学；太空物理学	...the laws of physics.::…物理学定律。
chemistry	'kɛmɪstri	'kemɪstrɪ	n::化学	organic chemistry::有机化学¦analytical chemistry::[化]分析化学¦physical chemistry::物理化学¦inorganic chemistry::无机化学¦quantum chemistry::量子化学¦applied chemistry::应用化学¦department of chemistry::化学系¦medicinal chemistry::药物化学；医疗化学¦polymer chemistry::高分子化学；聚合物化学¦environmental chemistry::[化]环境化学¦surface chemistry::[化]表面化学¦coordination chemistry::配位化学¦pharmaceutical chemistry::药物化学¦general chemistry::普通化学¦fine chemistry::精细化工；精细化学¦food chemistry::食品化学；食物化学¦medical chemistry::医化学¦atmospheric chemistry::大气化学¦material chemistry::材料化学¦analytical chemistry experiment::分析化学实验	a person’s body chemistry::人体的化学组成
partner	'pɑrtnɚ	'pɑːtnə	n::搭档；同伴	business partner::商业伙伴，业务合作伙伴；买卖的合伙人¦partner with::v. 做伙伴¦trading partner::贸易伙伴；合作伙伴¦trade partner::贸易伙伴¦cooperation partner::合作伙伴¦life partner::生活伴侣¦sexual partner::性伴侣；配偶¦managing partner::办事员；任事股东¦limited partner::n. 有限责任股东；有限责任合伙人¦general partner::[经]普通合伙人¦senior partner::资深合伙人¦partner for life::终身伴侣¦sex partner::性伴侣；性伙伴¦common-law partner::法律同居伴侣；夫妻¦junior partner::新合伙人，资浅合伙人	Clare’s my tennis partner.::克莱尔是我的网球搭档。¦Take your partners for the next dance.::挑选下一支舞的舞伴吧。
pronounce	prə'naʊns	prə'naʊns	v::发音	pronounce on::对…发表意见	How do you pronounce your name?::你的名字怎么念？
increase	'ɪnkris	ɪn'kriːs	v::增加；增长	increase in::（使）在…增加；（使）在…增大¦increase production::增产¦increase by::增加了；按…增长¦price increase::价格上涨；提价¦on the increase::正在增加，正在增长¦increase efficiency::提高效率¦population increase::人口增长¦sharp increase::急剧上升；飞涨¦steady increase::稳定的增长¦capital increase::增资¦increase speed::加速¦increase in value::价值的增长；涨价¦salary increase::加薪¦volume increase::增产；体积膨胀¦percentage increase::增长百分率；增长的百分数¦fold increase::成倍增加¦entropy increase::熵增加¦increase in price::涨价¦increase employment opportunities::广开就业门路	The population increased dramatically in the first half of the century.::该世纪上半叶，人口大幅度增加。¦political tensions that might increase the likelihood of war::或许会增加战争爆发可能性的紧张政治局面¦Visits to the site have increased threefold since May.::来这里的参观者自5月起已增至原来的三倍。
speed	spid	spiːd	n::速度	high speed::高速全速¦speed up::加速；使加速¦low speed::低速；慢速¦in speed::迅速，赶快¦speed control::速度控制；速度控制器¦wind speed::风速¦speed regulation::速度调节；速度调整¦rotational speed::旋转速度，角速度；圆周速度¦rotating speed::转速；回转速度¦at high speed::全速¦variable speed::变速，可变速率¦rotation speed::旋转速度，转速；自旋马达之回转数¦full speed::全速¦cutting speed::切割速度¦processing speed::处理速度；加工速率¦high speed steel::高速钢；超切钢¦response speed::响应速度；反应速度¦at full speed::全速¦constant speed::恒速；等速¦speed limit::速度限制；最高车速	The truck was travelling at a speed of 50 mph.::卡车正以 50 英里的时速在行驶。¦particles that travel at the speed of light::以光速运动的粒子
ability	əˈbɪlətɪ	əˈbɪlətɪ	n::能力；才能	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	the ability to walk::行走的能力¦The test measures your mathematical ability.::这种测试考查的是数学能力。
brain	bren	breɪn	n::大脑	human brain::人脑¦brain injury::[医]脑损伤¦brain damage::脑损伤¦brain drain::人才外流；智囊流失¦brain tumor::脑瘤，脑癌；脑肿瘤¦brain activity::大脑活动¦on the brain::念念不忘；着迷¦brain stem::脑干¦brain power::脑力；智能¦brain death::[医]脑死亡¦brain cell::脑细胞¦brain surgery::脑外科；脑部手术¦blood brain barrier::血脑屏障¦brain trust::智囊团¦brain chemistry::脑化学¦brain truster::n. 顾问；智囊团团员¦brain scan::脑部扫描¦brain work::脑力劳动¦brain dead::脑死亡的¦brain storming::头脑风暴法，集体创造性思维法	Messages from the brain are carried by the central nervous system.::大脑发出的信息是通过中枢神经系统传递的。¦the chemistry of the brain::大脑的化学性质¦the human brain::人脑¦She died of a brain tumour.::她死于脑瘤。
active	'æktɪv	'æktɪv	adj::活跃的；积极的	active in::积极于¦active role::积极任务；活跃角色¦active part::积极的作用；能动部分，主动部分¦active power::有功（有效）功率¦active carbon::活性炭；活性炭黑¦surface active::表面活性的¦active ingredient::有效成分；活性组分¦active participation::主动参与；积极参加¦active agent::活性剂¦active component::活性组分；有效元件；作用分量¦surface active agent::表面活性剂¦active service::现役¦active oxygen::活性氧¦active fault::活动断裂；活性断层¦active learning::主动学习；积极学习¦active substance::活性物质；放射性物质；有效物质¦active suspension::主动制导悬架系统（一种由计算机控制的机动车悬架系统）¦active material::[核物]活性物质，放射性材料¦active network::有源网络¦active member::积极成员；活跃会员	games for active youngsters::活跃好动的年轻人玩的游戏¦She’s over 80, but is still very active.::她80多岁了，但仍旧很活跃。¦He became politically active at college.::他上大学时开始积极参与政治活动。
attention	ə'tɛnʃən	ə'tenʃ(ə)n	n::注意；关注	pay attention::专心；集中注意力¦pay more attention to::更加注意¦pay close attention to::密切注意¦be paid attention to::关心¦give one's attention to::v. 注意¦give attention to::考虑；注意；关心¦public attention::公众的关注¦attract attention::vi. 引起……的注意¦for your attention::请你注意；您的关照¦draw attention::引起注意¦with attention::adj. 留心地，注意地¦medical attention::医疗照顾；医疗看护¦immediate attention::注视；及时关注¦pay no attention to::不注意，不在意¦matters need attention::注意事项¦call attention to::唤起注意¦prompt attention::从速办理¦undivided attention::一心一意¦attention span::注意广度；注意力的持续时间¦attention deficit hyperactivity disorder::过动症，注意力不足过动症；过度活跃症	My attention wasn’t really on the game.::我的注意力其实不在比赛上。¦She tried to pay attention to what he was saying.::她尽量注意听他说话。¦If you paid more attention in class, you might actually learn something!::要是你上课更认真些，也许能实实在在地学到些东西！¦Scott sat down at his desk and turned his attention to the file he had in front of him.::斯科特在自己的办公桌前坐下，将注意力转向面前的文件。¦As a society we need to give more attention to the needs of older people.::生活在同一社会里，我们得更加关注长者的需求。¦Now he’s gone, I can give you my undivided attention .::现在他已经走了，我可以把全部注意力都放在你身上。¦This game is fun and is sure to keep the attention of any young student.::这个游戏很有趣，一定能使年幼学生保持注意力。¦They listened to the speech with close attention .::他们很认真地听演讲。¦Attention to detail is essential in this job.::关注细节是这份工作所必需的。¦During the lecture Sarah’s attention began to wander .::上课时，萨拉开始走神了。
pay attention to			::注意；关注		In this materialistic age we do not have time to pay attention to our surroundings.::在这唯物主义的时代里，我们没有时间去注意我们周围的世界。¦In economic work, we should pay attention to opening up the source and regulating the flow from time to time.::在经济工作中， 应该经常注意开源节流。¦We should pay attention to this from the very beginning.::我们从一开始就要注意这个问题。
connect	kə'nɛkt	kə'nekt	v::（使）连接；与...有联系	connect with::连接；与…联系¦connect up::连接，接上¦network connect::网络连接	We’d like two rooms with connecting doors (= doors that join the rooms ) .::我们想要两个有门相通的房间。¦I didn’t connect the two events in my mind.::我心里没把这两件事联系起来。
connect … with			::把...和...连接或联系起来		There is no evidence to connect them with the attack.::没有证据把他们和这次袭击联系在一起。
overnight	'ovənaɪt	əʊvə'naɪt	adv::一夜之间；在夜间		Pam’s staying overnight at my house.::帕姆要在我家过夜。
review	rɪ'vju	rɪ'vjuː	n::回顾¦v::复习；回顾	literature review::文献回顾；文献综述；文献评论¦judicial review::n. 司法审查；复审¦comprehensive review::全面审查¦general review::总复习；一般性综述¦book review::书评¦peer review::同业互查¦under review::在检查中；正在审查¦design review::设计评论¦in review::在检查中¦performance review::服务表现检讨；业绩评价¦management review::管理评审，管理审查；管理评论¦annual review::年度复查；年度综论¦review board::审查委员会¦critical review::评论¦review committee::复核委员会¦review mechanism::审查制度；复核机制¦review meeting::审核会；工作总结会¦periodic review::定期检查；按期盘点¦preliminary review::预审；预先复查；初审¦pass in review::◎检阅，阅兵；使(军队)分列前进	a review of the year::对这一年的回顾¦I’ve got to revise my geography.::我得复习一下地理。¦a journalist who will review the events of the past six months::将对过去六个月里所发生的事件进行回顾的记者
knowledge	'nɑlɪdʒ	'nɒlɪdʒ	n::知识；学问	knowledge of::知识¦knowledge economy::知识经济¦knowledge management::n. 知识管理¦basic knowledge::基础知识，基本知识¦professional knowledge::专业知识；专门知识¦knowledge base::知识库¦knowledge structure::知识结构¦scientific knowledge::科学知识¦knowledge representation::知识表示；知识表达¦general knowledge::常识；各方面的知识¦technical knowledge::技术知识¦specialized knowledge::专业知识；专门知识¦knowledge acquisition::知识获取；知识习得；知识获得；知识采集¦tacit knowledge::隐性知识；默会知识¦human knowledge::人的认识¦expert knowledge::专家知识，专门知识¦domain knowledge::领域知识¦theory of knowledge::认识论；熟悉论¦in the knowledge that::在知道…的情况下¦practical knowledge::实践性知识，实用性知识；实务知识	He did not have much knowledge of American history.::他对美国历史所知不多。
wisely	'waɪzli	'waizli	adv::明智地；聪明地		Sian had very wisely left the party before all the trouble started.::沙恩很明智地在一切麻烦开始之前就离开了那个聚会。¦Please use what you have wisely.::请明智地花费你所拥有的。
Annie			::安妮（女名）		After the movie was finished, my husband reminded me that I am an Annie Sullivan.::看完电影后，我丈夫提醒我说，我就是一个安妮·莎莉文式的人。¦Dear Annie: I hope you and your readers have some suggestions for me, because I'm just about at the end of my rope.::亲爱的安妮： 我希望您和您的读者可以给我提些建议，因为我实在是山穷水尽，毫无办法了。
Alexander Graham Bell			::亚历山大 • 格雷厄姆 • 贝尔		It is the story of Alexander Graham Bell.::这就是亚历山大·格雷厄姆·贝尔的故事。¦WHEN Alexander Graham Bell invented the telephone in 1876, he could never have predicted what it would be able to do in the future.::在1876年亚历山大·格雷厄姆·贝尔发明电话之时，他绝对不会料到电话在未来能做何用途。
lantern	'læntɚn	'læntən	n::灯笼	lantern festival::元宵节，灯节¦chinese lantern::可以折叠起来的灯笼¦palace lantern::宫灯¦lantern show::灯展	Light the lantern, take it and go down stairs.::你把这灯笼点起来，带着它下楼去。¦What starts as an everyday squash turns into a lantern of light.::一个平平常常的南瓜变成了一个充满光亮的灯笼。¦In the course of time, this kind of lantern has become an exclusive of the Shens.::后来， 这种灯笼成了沈家的绝活。
stranger	'strendʒɚ	'streɪn(d)ʒə	n::陌生人	stranger than fiction::奇幻人生（电影名称）¦perfect stranger::完全不认识的人	Children must not talk to strangers.::小孩子千万不要同陌生人说话。
relative	'rɛlətɪv	'relətɪv	n::亲属；亲戚	relative humidity::相对湿度¦relative error::相对误差¦relative position::相对位置¦relative standard::相对标准；相关标准¦relative motion::相对运动¦relative density::相对密度（等于specific gravity）¦relative permeability::相对渗透率；相对磁导率；空间磁导率¦relative importance::相对重要性¦relative standard deviation::相对标准偏差；相对标准差¦relative stability::相对稳定度，相对稳定性；稳定比值¦relative theory::相对论，相对理论¦relative merits::优缺点；相比较而言的优点¦relative molecular mass::相对分子质量¦relative movement::相对运动¦relative value::相对价值；相对值¦relative displacement::相对位移；相对排量¦relative analysis::n. 对比分析¦relative strength::相对强势¦relative velocity::[物]相对速度¦relative efficiency::相对效率；相对有效性；相对效能	a gathering of friends and relatives::亲朋好友的聚会
put on	pʊt ɑn	pʊt ɒn	::增加（体重）；发胖		I can eat what I want but I never put on weight.::我想吃什么就能吃什么，而体重从不增加。
pound	paʊnd	paʊnd	n::磅（重量单位）；英镑（英国货币单位）	pound of flesh::合乎法律的无礼要求¦in the pound::每镑¦pound sterling::n. 英镑¦by the pound::按每磅(计价)¦pound on::重击；猛打¦pound note::1英镑纸币	Moira weighs about 130 pounds.::莫伊拉的体重约为130磅。¦The grapes cost $2 a pound.::葡萄的价格是2美元一磅。¦They spent over a thousand pounds.::他们花了一千多英镑。
folk	fok	fəʊk	adj::民间的；民俗的	folk art::民间艺术¦folk music::民俗音乐¦folk culture::民俗文化；民间文化¦folk song::民歌¦folk custom::n. 民间习俗¦folk dance::民间舞蹈；土风舞¦folk prescription::偏方；民间药方¦folk medicine::民间医药；民间医学¦folk house::民居¦country folk::乡下人；乡村民谣¦folk dancing::民间舞¦old folk::老人¦folk singer::n. 民歌手；民歌演唱者¦folk tale::民间故事¦folk rock::摇滚民谣¦folk art forms::曲艺¦folk remedy::偏方¦folk hero::民族英雄；民间英雄¦folk story::民间故事¦folk wisdom::民间智慧	folk tales::民间故事¦an Irish folk song::一首爱尔兰民歌
goddess	ɡɑdɪs	ˈgɒdɪs	n::女神	goddess of mercy::观世音	Aphrodite, goddess of love::爱神阿佛洛狄忒
steal	stil	stiːl	v::偷；窃取	steal away::（把某物）偷走；溜掉¦steal over::（感情等）渐渐控制…；渐渐弥漫；悄悄地呈现；不知不觉地袭来	Boys broke into a shop and stole £45 in cash.::男孩们闯进一家商店，盗走了45英镑现金。
lay	le	leɪ	v::放置；安放；产（卵）；下（蛋）	lay in::贮存¦lay down::放下；制定；铺设；主张¦lay a foundation::奠定基础；奠基；打下基础¦lay eggs::产蛋¦lay on::涂抹（颜料等）；猛攻；加…于人¦lay out::展示；安排；花钱；为…划样；提议¦lay stress on::注意，重视；把重点放在¦lay off::解雇；休息；停止工作¦lay emphasis on::强调；把重点放在¦lay claim to::要求；自以为¦lay the foundation of::打下……的基础；奠定了……的基础¦lay at::攻击；将…放置在…前面¦lay up::v. 贮存；搁置；卧床不起¦lay asleep::◎使…入睡¦on the lay::[黑话、行话]做(违法)买卖；干活(如偷、扒、抢等)¦in lay::◎(母鸡)会下蛋[亦作 in full (或 good) lay]¦lay back::使…向后；躺下休息¦lay upon::随…而定；把重点放在¦lay over::覆盖；胜过，压倒¦lay hands on::得到；找到；攻击	He laid his hand on my shoulder.::他把一只手搭在我的肩上。¦They laid a wreath at the place where so many people died.::他们在这么多人丧生的地方放了一个花圈。¦Lay the material flat on the table.::把布料平铺在桌上。¦My canary has laid an egg. ＃::我的金丝雀下了一个蛋。
lay out	'lei,aut	'lei,aut	::摆放；布置	layout design::布图设计；布局设计；布线设计¦general layout::总体设计；总布置图¦page layout::页面布局¦plant layout::工厂布置，车间布置；设备布置¦layout plan::布置图；平面图¦system layout::系统配置¦site layout::场地布局¦keyboard layout::[计]键盘布局¦circuit layout::电路设计，电路草图¦process layout::分类布置；程序布置¦piping layout::管路布置；管道平面布置图¦stock layout::排样；板料排样¦physical layout::实体布局；实际布置图；物理布局¦machine layout::机械配置；机械布置¦standard layout::数的标准分布；标准布局；标准配置¦layout adjustment::布局调整；页面自动调整命令¦layout drawing::布置图；草图；配线图¦art layout::艺术设计¦layout area::详细规划区；蓝图区	Grace laid out the knives and forks on the table.::格雷丝把刀叉摆放在桌子上。
dessert	dɪ'zɝt	dɪ'zɜːt	n::（饭后）甜点；甜食	dessert wine::餐后甜酒	I have the menu all planned out, from the appetizers to the dessert.::所有东西我都策划出了，写在菜单上，有开胃食品，也有餐后甜点。
garden	'ɡɑrdn	'gɑːd(ə)n	n::花园；园子	in the garden::在花园里¦tea garden::茶叶种植场；茶室¦botanical garden::植物园¦rose garden::玫瑰园；蔷薇园¦garden design::园林设计；庭园设计；园艺设计¦garden hotel::花园酒店；花园饭店¦landscape garden::园林；风景园¦garden of eden::[圣经]伊甸园；清白无罪（的状况）¦roof garden::屋顶花园¦flower garden::花园；庭园¦vegetable garden::菜园¦city garden::城市花园¦private garden::私家园林，私家花园¦garden furniture::花园家具；庭院家具¦imperial garden::御花园¦garden party::n. 游园会；露天招待会¦little garden::小花园¦garden architecture::庭园建筑；园林建筑学¦botanic garden::植物园¦common or garden::adj. 平凡的；普通的	He’s outside in the garden.::他在外面花园里。¦Grace brought us some flowers from her garden.::格雷丝给我们送来一些她花园里的花。
admire	ədˈmaɪr	əd'maɪə	v::欣赏；仰慕	admire for::vt. 赞赏	We stopped halfway to admire the view .::我们中途停下来观赏风景。¦Sal stood back to admire her work.::萨尔退后几步欣赏她的作品。
tie	taɪ	taɪ	n::领带¦v::捆；束	tie in::使结合；使配合得当¦tie with::在比赛中得分与…相同¦tie up::占用；包扎；绑好；缚牢；阻碍；密切联系；合伙；停泊¦tie in with::与...一致；配合¦tie rod::横拉杆；前轮连接杆¦cup tie::优胜杯决赛¦bow tie::领结；蝶形领结¦tie bar::n. [建]系杆；领带夹（等于tie clasp）；[铁路]尖轨连接杆¦tie down::束缚；约束；栓系¦black tie::n. 黑色领结；男子之半正式礼服¦tie into::大吃；猛击；遣责¦old school tie::（英国公学的）母校领带；校友间的互助之情¦tie together::配合；缚在一起¦cable tie::尼龙扎带；束线带；绑线¦tie up with::和...有密切关系¦tie rod end::[机]球接头；转向横拉杆球铰接头¦tie clip::领带夹¦tie line::结线；串接线路¦tie off::结扎；打结¦white tie::n. 小白领结；全套男式晚礼服	I wear a shirt and tie at work.::我上班穿衬衫打领带。
haunted	'hɔntɪd	'hɔːntɪd	adj::有鬼魂出没的；闹鬼的	haunted house::鬼屋	a haunted house::闹鬼的房子
ghost	ɡost	gəʊst	n::鬼；鬼魂	holy ghost::n. [宗]圣灵¦ghost of a::丝毫，微量，一点儿(常在否定句中与 chance，idea 连用，或与 smile连用)¦ghost story::鬼故事，神怪小说¦ghost town::鬼镇；废弃的城市¦ghost image::鬼像；重像¦ghost of a smile::一丝淡淡的笑容¦give up the ghost::[古]死，断气	They say the young girl’s ghost still haunts (= often appears in ) the house.::他们说那个少女的鬼魂依旧在那房子里出没。¦He looked as if he’d seen a ghost (= he looked very frightened ) .::他看上去像见到了鬼似的。
trick	trɪk	trɪk	n::花招；把戏	do the trick::获得成功¦trick or treat::不招待就使坏（指万圣节孩子们挨家逐户要糖果等礼物，如不遂愿便恶作剧一番的风俗）¦hat trick::帽子戏法（指连入三球），[板球]连中三柱（使对方三击球手退场）¦play a trick::（搞）恶作剧，捉弄¦dirty trick::卑鄙手段¦play a trick on::开……的玩笑；捉弄……¦clever trick::高明的把戏；聪明的花招；熟练的伎俩¦trick question::偏题¦confidence trick::骗局；欺诈¦trick or treating::不给糖果就捣蛋	Pretending he doesn’t remember is an old trick of his.::假装不记得是他的老花招了。¦He didn’t really lose his wallet - that’s just a trick.::他并没有真的丢了钱包——这只是一个骗局。
treat	trit	triːt	n::款待；招待¦v::招待；请（客）	treat with::处理；应付¦treat of::论及，涉及；探讨，论述¦treat as::对待；把…看作…¦trick or treat::不招待就使坏（指万圣节孩子们挨家逐户要糖果等礼物，如不遂愿便恶作剧一番的风俗）¦dutch treat::各付己帐；各自付帐的聚餐或娱乐活动	We treated Mom to lunch at the Savoy.::我们请妈妈在萨沃伊酒店吃午饭。¦Lettie had never yet failed to return from town without some special treat for him.::莱蒂每次从城里回来都要带一些特别的礼物送给他。
spider	'spaɪdɚ	'spaɪdə	n::蜘蛛	spider silk::蜘蛛丝¦spider web::n. 蜘蛛网¦red spider::红蜘蛛；山楂叶螨	a spider's web::蛛网
