pharmacy	'fɑrməsi	'fɑːməsɪ	n::药房；配药学，药剂学；制药业；一批备用药品::a shop or a part of a shop where medicines are prepared and sold	college of pharmacy::药学院；药剂学院¦pharmacy equipment::药房设备	an all-night pharmacy::通宵药店	n::药房；[药]配药学，药剂学；制药业；一批备用药品::dispensary, officina	n::pharmacist:: 药剂师¦n::pharmacopoeia:: 药典，处方书；一批备用药品¦n::pharmaceutics:: 制药学；配药学		 pharma(药； 毒) + cy → 药店； 药剂学			
bribery	'braɪbəri	'braɪbərɪ	n::[法] 贿赂；受贿；行贿::the act of giving bribes		We tried everything – persuasion, bribery, threats.::我们什么都试过——劝过，给过好处，也威胁过。¦He was found guilty of bribery and corruption (=  bribery and dishonest behaviour  ) .::他被判犯有贿赂和徇私舞弊罪。	n::[法]贿赂；受贿；行贿::fix, golden key	adj::bribable:: 可收买的，可贿赂的¦n::bribe:: 贿赂¦n::briber:: [法] 行贿者¦vi::bribe:: 行贿¦vt::bribe:: 贿赂，收买					
detrimental	,dɛtrɪ'mɛntl	,detrɪ'ment(ə)l	adj::不利的；有害的::causing harm or damage¦n::有害的人（或物）；不受欢迎的求婚者::		the detrimental effect of pollution on the environment::污染对环境的不利影响	adj::不利的；有害的::harmful, adverse, against, evil, disadvantageous	adv::detrimentally:: 有害地；不利地¦n::detriment:: 损害；伤害；损害物		 detriment(损害， 伤害) + al(…的) → 损害的； 伤害的			
knock	nɑk	nɒk	v::敲；打；敲击::to hit a door or window with your closed hand to attract the attention of the people inside¦n::敲；敲打；爆震声::the sound of something hard hitting a hard surface	knock on::撞击撞出；敲击（门、窗）¦knock at::敲（门、窗等）¦knock off::击倒；停工；中断¦knock down::击倒；拆卸¦knock at the door::敲门；把……撞倒；撞墙¦knock out::敲空；击倒；打破；使筋疲力竭¦knock it off::停止做；住口，别再讲下去了¦knock on the door::敲门¦knock over::打翻；撞倒¦knock in::（把钉子）钉入¦knock on wood::敲木头，企求好运；吉人天相¦knock up::敲门唤醒；[英口]筋疲力尽；往上敲¦knock back::（摇把）反击，（活塞）逆行，（曲轴）反转；反座；回击，击退；使...大吃一惊¦knock against::撞击，与…冲突；偶然遇见¦knock sensor::爆振传感器；进气流量传感器¦knock into::撞上；与…相撞¦knock off work::敲落工作；歇工	I knocked and knocked but nobody answered.::我把门敲了又敲，但无人回应。	vi::敲；打；[动力]敲击::strike, hit¦vt::敲；打；[动力]敲击；批评::strike, stroke, dong¦n::敲；敲打；[力]爆震声::beating	n::knocker:: 门环；敲击者；吹毛求疵的人					
roll	rol	rəʊl	v::卷；滚动，转动；辗::if something rolls, especially something round, or if you roll it, it moves along a surface by turning over and over¦n::卷，卷形物；名单；摇晃::a piece of paper, camera film, money etc that has been rolled into the shape of a tube	roll out::铺开；滚出¦work roll::工作辊¦roll in::蜂拥而来；[口]有大量的（钱财等）；[美俚]就寝；到达¦rock and roll::摇滚乐¦roll up::卷起；滚滚上升；到达；出现；积累成；迫敌退向中央¦roll gap::轧辊开度；辊间距离¦roll on::继续前进¦cold roll::冷轧， 冷轧辊¦roll forming::滚轧成形；成形轧制¦roll over::翻滚；转存；延缓付款¦roll away::vt. 滚动卷页；滚过去，慢移过去¦roll back::击退；把…压低到标准水平¦roll into::卷成，使合为一体；滚进¦roll down::滚下¦roll off::转降，辗轧¦steel roll::[化]钢辊¦spring roll::（中国的）春卷；弹簧辊；薄饼¦hot roll::热轧，热轧卷；加热压光辊¦on a roll::运气好；超常发挥；做得很顺¦roll call::点名；名单；登记表	His sleeves were rolled above his elbows.::他的袖子卷到了胳膊肘的上面。	vt::卷；滚动，转动；辗::turn, wheel¦vi::卷；滚动；转动；起伏，摇晃::wave, turn, screw, rock¦n::卷，卷形物；名单；摇晃::book, volume	adj::rolling:: 旋转的；起伏的；波动的¦adj::rolled:: 轧制的；滚制的¦n::roller:: [机] 滚筒；[机] 滚轴；辊子；滚转机¦n::rolling:: 旋转；动摇；轰响¦v::rolled:: 使…转动；摇摆（roll的过去分词和过去式）					
autonomy	ɔ'tɑnəmi	ɔː'tɒnəmɪ	n::自治，自治权::freedom that a place or an organization has to govern or control itself		campaigners who want greater autonomy for Corsica::希望科西嘉有更多自治权的活动家	n::自治，自治权::self-rule, swaraj	adj::autonomous:: 自治的；自主的；自发的¦adj::autonomic:: 自律的；自治的		 auto(自己) + nomy(看作nomin， 名) → 自己的名归自己管 → 自治			
deputy	'dɛpjuti	'depjʊtɪ	n::代理人，代表::someone who is directly below another person in rank, and who is officially in charge when that person is not there¦adj::副的；代理的::	deputy director::副局长，副厅长；副院长¦deputy secretary::副秘书¦deputy director general::副局长；副处长；副司长¦deputy mayor::副市长¦deputy chief::副局长；副科长；副处长；副警长；副总警监¦deputy general manager::副总经理¦deputy prime minister::副总理；副首相¦deputy head::副职；副校长¦deputy chairman::副主席；副董事长¦deputy president::副行长；副校长¦deputy commander::副司令；副指挥¦deputy manager::副经理¦deputy commissioner::副局长；副总监；副署长	His brother was acting as his deputy in America.::他的兄弟充当他在美洲的代理人。	n::[法][贸易]代理人，代表::agent, representation, factor, secondary, proxy¦adj::副的；[法][贸易]代理的::acting, vice, agent, auxiliary	n::deputation:: 代表团，代表；委任代理¦vi::deputise:: 担任代表¦vi::deputize:: 代理；代表¦vt::depute:: 委任；授权给；指定…为代理人¦vt::deputise:: 委...为代表¦vt::deputize:: 指定…为代理；授权…为代表		 de + puty(看作duty， 责任) → 代理人应负责 → 代理人			
movement	'muvmənt	'muːvm(ə)nt	n::运动；活动；运转；乐章::a group of people who share the same ideas or beliefs and who work together to achieve a particular aim		It's part of a broader nationalist movement that's gaining strength throughout the country.::这是一场正在全国范围内日益壮大的更为广泛的民族主义运动的一部分。	n::运动；活动；运转；乐章::activity, exercise, sport, campaign, running	adj::moving:: 移动的；动人的；活动的¦adj::moved:: 感动的；被移动的¦adj::movable:: 动产的；可移动的；不固定的¦adj::moveable:: 可移动的¦adv::movingly:: 感人地，动人地¦n::move:: 移动；步骤；迁居¦n::movable:: 动产；可移动的东西¦n::mover:: 原动力；鼓动者；搬运公司；搬家工人¦n::moveable:: 动产¦n::movability:: 易动；可动；可动性¦v::moving:: 移动（move的ing形式）¦v::moved:: 移动，移动到；感动（move的过去式，过去分词）¦vi::move:: 移动；搬家，迁移；离开¦vt::move:: 移动；感动					
oversubscribe	'ovɚsəb'skraɪbd	,əʊvəsəb'skraɪb	vt::订购过多；超额认购::to subscribe or apply for in excess of available supply 		We’re also using a good deal of thin-provisioning in storage to be able to oversubscribe our storage space.::存储方面，我们还大量使用了瘦分区来超额认购存储空间。¦So we’ve been working on a multi-tier storage strategy to thin-provision or oversubscribe, and that has already been working extremely well in our existing datacenters.::因此我们一直致力于一种多芯片的存储策略来进行瘦分区或超额订购，而那个在我们现有的数据中心上用得好极了。							
advanced	əd'vænst	æd'vɑːnst	adj::先进的；高级的；晚期的；年老的::very modern¦v::前进；增加；上涨（advance的过去式和过去分词形式）::	advanced technology::先进技术¦advanced level::n. （英国）一般学历证书考试优等（等于A level）¦advanced science::先进科学；尖端科学¦advanced control::[计]先行控制¦advanced research::先进研究；远景研究¦advanced stage::[医]晚期¦advanced treatment::深度处理；高级处理¦advanced education::高等教育；继续教育¦advanced course::预先熟练；高级课程¦advanced mathematics::高等数学¦advanced country::先进国家；发达国家¦advanced study::进修；高级的研究¦advanced development::提前开发；高级研制¦advanced age::高龄，老年¦advanced training::进阶训练；高级训练¦advanced cancer::晚期癌症¦advanced economy::先进经济体系；发达的经济¦advanced search::高级搜索¦advanced model::先进模型¦advanced material::先进材料；尖端物料	advanced weapon systems::先进的武器系统¦advanced technology::先进的技术¦high levels of unemployment in the advanced industrial societies::发达工业社会中的高失业率	adj::先进的；高级的；晚期的；年老的::senior, aged, high, old, ancient¦v::前进；增加；上涨（advance的过去式和过去分词形式）::rose, improved	adj::advance:: 预先的；先行的¦adj::advancing:: 前进的；年长的¦n::advance:: 发展；前进；增长；预付款¦n::advancement:: 前进，进步；提升¦n::advancer:: 前进者；相位超前补偿器，进相机¦v::advancing:: 前进；超前（advance的ing形式）¦vi::advance:: 前进；进展；上涨¦vt::advance:: 提出；预付；使……前进；将……提前					
factoring	'fæktɚ	'fæktərɪŋ	n::[数] 因子分解，[数] 因式分解；保付代理::the business of a factor ¦v::把…因素包括进去（factor的ing形式）::	factor in::…的因素；将…纳入¦key factor::关键因素；主要因素¦factor analysis::因子分析；要素分析¦factor of production::生产要素¦growth factor::增长因子；增长系数；放大因子；经济增长因素¦power factor::功率因数；功率系数¦power factor (pf)::功率因素¦influencing factor::影响因素；影响因子¦influence factor::n. 影响因素；电话干扰系数¦risk factor::风险因素，危险系数¦major factor::主要因素¦safety factor::安全系数¦decisive factor::决定性因素¦critical factor::关键因素；临界因素¦primary factor::主因子，准素因子；一次因素¦quality factor::[物]品质因数；[核]品质因子；[物]质量指标¦intensity factor::强度因子；强度因素¦stress intensity factor::应力强度因子；应力强度因数¦recovery factor::采收率；回收系数¦environmental factor::环境因素，环境因子			adj::factorial:: 因子的，阶乘的¦n::factor:: 因素；要素；[物] 因数；代理人¦n::factory:: 工厂；制造厂；代理店¦n::factorial:: [数] 阶乘¦n::factorization:: [数] 因子分解；[数] 因式分解¦vi::factor:: 做代理商¦vt::factor:: 把…作为因素计入；代理经营；把…分解成¦vt::factorize:: 因式分解；把复杂计算分解为基本运算					
joke	dʒok	dʒəʊk	n::玩笑，笑话；笑柄::something that you say or do to make people laugh, especially a funny story or trick¦v::开…的玩笑::to say things that are intended to be funny and that you do not really mean	make a joke::开玩笑，讲笑话¦as a joke::开玩笑¦crack a joke::v. 开玩笑¦no joke::不是开玩笑的事；不是轻松的事¦in joke::开玩笑¦practical joke::n. 恶作剧¦beyond a joke::[口语]并非戏言；需要严肃对待的事¦play a joke::开玩笑¦bad joke::冷笑话¦play a joke on::戏弄某人；对…恶作剧；开…的玩笑	I couldn’t go out with someone for a joke, could you?::我可不能拿谈恋爱当儿戏，对不对？	n::玩笑，笑话；笑柄::fun, sport¦vt::开…的玩笑::make sport of, play trick on¦vi::开玩笑::fool, kid around	adj::joking:: 开玩笑的；戏谑的¦adv::jokingly:: 开玩笑地；打趣地¦n::joker:: 爱开玩笑的人；家伙；丑角牌¦n::jokester:: 喜欢开玩笑者¦v::joking:: 和…开玩笑（joke的ing形式）					
role	rol	rəʊl	n::角色；任务::the character played by an actor in a play or film	role of::……的角色¦play an important role::起到重要作用¦leading role::主导作用；主导地位¦active role::积极任务；活跃角色¦play a role::发挥作用；扮演一个角色¦play a role in::在……起作用¦play the role::扮演角色¦play the role of::v. 担任…角色¦role model::n. 行为榜样；角色模特¦pivotal role::关键作用；要害作用¦dominant role::主要角色¦supporting role::n. 配角¦social role::社会角色¦role play::角色游戏¦role playing::扮演角色¦dual role::双重角色¦gender role::性别角色¦play the leading role::起主要作用， 起带头作用¦role conflict::角色冲突¦sex role::性别角色	She has just landed the lead role in their latest production.::她刚在他们最新的作品中取得了主角。	n::角色；任务::workers, mission, part, assignment, character						
cage	kedʒ	keɪdʒ	n::笼，兽笼；牢房，监狱::a structure made of wires or bars in which birds or animals can be kept¦v::把…关进笼子；把…囚禁起来::to put or keep an animal or bird in a cage	squirrel cage::adj. 鼠笼式的¦bird cage::n. 鸟笼¦nicolas cage::n. 尼古拉斯·凯奇（美国演员）¦rib cage::胸腔¦reinforcement cage::钢筋组架¦bearing cage::轴承罩¦steel reinforcement cage::钢筋笼¦steel cage::钢罩¦reinforcing cage::钢筋笼¦cage rotor::鼠笼型转子；短路式转子¦ball cage::滚珠隔离圈；滚珠轴承罩¦cage motor::鼠笼式电动机¦cage door::升降机门；罐笼门，轿厢门	I hate to see birds in cages.::我不喜欢看到鸟在笼子里。	n::笼，兽笼；牢房，监狱::prison, jail	n::caging:: 制动；闭锁；罩盖；吸持¦v::caging:: 把…关入笼内（cage的ing形式）					
upbeat	'ʌpbit	'ʌpbiːt	n::兴旺；上升；弱拍::¦adj::乐观的；上升的::positive and making you feel that good things will happen		an upbeat message::乐观的信息	n::兴旺；上升；弱拍::health, rise, upgrade, raise, ascension¦adj::乐观的；上升的::optimistic, rising, climbing, upward			 up(向上； 完毕) + beat(敲打； 拍子) → 鞭策向上 → 上升； 兴旺			
jet	dʒɛt	jɛt	n::喷射，喷嘴；喷气式飞机；黑玉::a fast plane with a jet engine¦adj::墨黑的::¦v::射出::if a liquid or gas jets out from somewhere, it comes quickly out of a small hole	water jet::喷水；喷水器；水注¦jet flow::射流¦ink jet::喷墨；墨水喷射¦jet pump::喷射泵，射流泵¦air jet::[化]空气喷射¦jet fuel::喷气燃料；航空煤油；喷气式发动机燃料¦jet li::李连杰（中国演员）¦jet printing::喷射印花；喷涂¦jet engine::喷射发动机（等于jet，jet motor）¦plasma jet::等离子体射流；等离子流¦jet nozzle::喷嘴；尾喷口；喷射管¦jet lag::时差感，飞行时差反应¦jet stream::急流，射流；喷射气流¦gas jet::n. 煤气喷嘴口；煤气灯的火焰¦jet plane::喷气式飞机¦jet aircraft::喷气式飞机¦jet propulsion::喷射推进¦steam jet::蒸汽喷嘴¦jet black::乌黑；深黑¦jet fighter::喷气战斗机	He owns a private jet.::他拥有一架私人喷气式飞机。	n::[流]喷射，[机]喷嘴；[航]喷气式飞机；黑玉::emission, ejection nozzle¦adj::墨黑的::coal-black, jet-black¦vt::射出::shoot out, send up¦vi::射出；[航]乘喷气式飞机::shoot out, send up	adj::jetty:: 乌黑发亮的，煤玉似的¦n::jetty:: 码头；防波堤¦n::jetliner:: 喷气客机¦n::jetting:: 喷射；注射¦v::jetting:: 喷射；喷出（jet的ing形式）¦vi::jetty:: 伸出		 那时候还没(yet)发明喷气式飞机(jet)呢			
inquire	ɪn'kwaɪr	ɪn'kwaɪə	v::询问；查究；问明::to ask someone for information	inquire into::调查，探究¦inquire about::询问，查问；打听¦inquire of::询问；打听¦inquire for::求见；要找¦inquire after::v. 问候；询问起	‘Why are you doing that?’ the boy inquired.::“你为什么这么做？”男孩问道。¦Toby would have liked to inquire further (= ask more questions ).::托比本想问更多的问题。	vt::询问；查究；问明::question, query¦vi::询问；查究；询价::question, query	adj::inquiring:: 询问的；打听的；爱追究的¦n::inquirer:: 调查者；询问者¦v::inquiring:: 调查（inquire的ing形式）；打听					
alternate	'ɔltɚnət	'ɔːltəneɪt; 'ɒl-	v::交替；轮流::if two things alternate, or if you alternate them, they happen one after the other in a repeated pattern¦adj::交替的；轮流的::two alternate things are placed one after the other in a regular pattern¦n::替换物::An alternate is a person or thing that replaces another, and can act or be used instead of them	alternate with::相间¦alternate between::在两种状态中交替变化；时而…时而…¦alternate name::又名¦alternate current::交流电¦every alternate::每隔¦alternate energy::替代能源¦alternate days::隔日¦on alternate days::隔日地¦alternate stress::交变应力；反复应力¦alternate form::复本；更替卷；变形¦alternate route::替换路线	The two patterns alternate over periods of two to seven years in the tropical Pacific.::在热带的太平洋地区，这两种现象的交替周期超过了两到七年。¦To make the tiger blink, you alternate the transparency between the two areas by locating both the areas and paths in the corresponding XML.::要让老虎眨眼，可以通过在相应的 XML 中定位这两个区域及其路径来在两个区域间交替透明性。¦In most jurisdictions, twelve jurors and two alternates are chosen.::在大多数审判中，12名陪审员和2名替补人员会被选出。	vi::交替；轮流::turn by one's, take one's turn¦vt::使交替；使轮流::rotate¦adj::[物]交替的；轮流的::rotary, vicissitudinary¦n::替换物::refill	adj::alternative:: 供选择的；选择性的；交替的¦adj::alternating:: 交替的；交互的¦adv::alternately:: 交替地；轮流地；隔一个地¦n::alternative:: 二中择一；供替代的选择¦n::alternation:: 交替，轮流，间隔¦n::alternator:: [电] 交流发电机¦v::alternating:: 使交替；依次（alternate的ing形式）		 altern(其他) + ate(…的) → 换其他的 → 轮流的			
essential	ɪ'sɛnʃl	ɪ'senʃ(ə)l	adj::基本的；必要的；本质的；精华的::the essential part, quality, or feature of something is the most basic one¦n::本质；要素；要点；必需品::something that is necessary to do something or in a particular situation	essential oil::香精油，精油¦essential condition::必要条件¦essential hypertension::原发性高血压；特发性高血压¦essential element::必需元素¦essential component::主要部件；主要成分¦essential difference::本质区别¦essential requirements::基本要求；基本规范¦essential amino acid::必需氨基酸¦essential nutrients::基本营养物；必需营养素（essential nutrient的复数形式）¦essential qualities::固有性；本质（essential quality 的复数）¦essential point::本质点¦essential information::[计]基本信息¦be essential for::对…必不可少的¦essential drugs::基本药物¦essential mineral::知矿物；主成份矿物；基本矿物¦essential fatty acid::必需脂肪酸¦essential parameter::基本参数；本质参数¦essential water::组成水份¦essential goods::主要货物；必需品	The essential difference between Sam and me was the fact that I took life seriously.::我和萨姆的根本区别在于我是认真对待生活的。¦The essential point of relay racing is that it is a team effort.::接力赛跑的基本要点是讲究团队配合。	adj::基本的；必要的；本质的；精华的::elementary, fundamental, basic, necessary, primary¦n::本质；要素；要点；必需品::element, principle, entity, necessity, requirement, texture	adv::essentially:: 本质上；本来¦n::essence:: 本质，实质；精华；香精¦n::essentiality:: 重要性；本质；真髓；根本性		 ess(存在) + ential → 存在的东西 → 要素； 本质			
asset	'æsɛt	'æset	n::资产；优点；有用的东西；有利条件；财产；有价值的人或物::the things that a company owns, that can be sold to pay debts	asset management::资产管理¦fixed asset::[经]固定资产¦intangible asset::n. 无形资产¦asset value::[经]资产价值¦fixed asset investment::固定资产投资¦financial asset::金融资产¦net asset::净资产¦capital asset::资本资产；固定资产¦asset class::资产类别；资产种类¦net asset value::资产净值，财产净价值¦asset valuation::资产估价，资产估值¦capital asset pricing model::资本资产评价模型¦current asset::流动资产¦underlying asset::标的资产；基础资产；相关/指定资产¦asset portfolio::资产组合¦asset account::资产帐户¦tangible asset::有形资产¦asset ratio::资产比率¦national asset::国有资产¦asset turnover::资产周转率	the value of a company’s assets::公司的资产价值	n::[经]资产；优点；有用的东西；有利条件::substance, virtue, advantage, finances						
gasoline	'gæsəlin	'gæsəliːn	n::汽油::a liquid obtained from petroleum, used mainly for producing power in the engines of cars, trucks etc	gasoline engine::汽油机，汽油发动机¦unleaded gasoline::无铅汽油¦gasoline tank::油箱，汽油箱¦gasoline station::加油站¦gasoline consumption::汽油消耗量¦leaded gasoline::n. 加铅汽油¦regular gasoline::普通汽油；常规汽油¦premium gasoline::变级汽油；高级汽油¦gasoline tax::汽油税	A gasoline engine drives the motorboat.::汽油引擎推动汽船。¦No cars in Brazil run on pure gasoline anymore. The government requires that all vehicles run on blended fuel of about one-quarter ethanol.::如今巴西不再使用单纯靠汽油驱动的汽车，政府要求所有机动车均采用含四分之一乙醇的混合燃料。	n::[油气]汽油::gas, benzine						
differentiate	,dɪfə'rɛnʃɪet	,dɪfə'renʃɪeɪt	v::区分，区别::to recognize or express the difference between things or people	differentiate from::将…区别开来	What differentiates these two periods of history?::这两个历史时期的差别在哪里？	vi::区分，区别::to distinguish, tell apart¦vt::区分，区别::to distinguish, tell apart	adj::differentiated:: 分化型；已分化的；可区分的¦adj::differentiable:: [数] 可微的；可辨的；可区分的¦adv::differentially:: 区别地¦n::differentiation:: 变异，[生物] 分化；区别¦n::differentiator:: [自] 微分器；微分电路；区分者¦v::differentiated:: 使有差别（differentiate的过去分词）					
rigid	'rɪdʒɪd	'rɪdʒɪd	adj::严格的；僵硬的，死板的；坚硬的；精确的::rigid methods, systems etc are very strict and difficult to change	rigid body::刚体；刚性体¦rigid frame::刚性构架¦rigid frame bridge::刚构桥，刚架桥；刚架式桥梁¦rigid plastic::硬质塑料¦rigid pavement::刚性路面；混凝土路面¦rigid foam::硬质泡沫塑料；硬塑胶¦rigid foundation::刚性基础；刚性地基；钢性基础¦rigid connection::刚性联接¦rigid polyvinyl chloride::硬聚氯乙烯¦rigid structure::[化]刚性结构¦rigid system::刚体系；刚性系统¦rigid support::刚性支承；刚性支架；刚强支柱¦rigid rotor::刚性转子；刚接式旋翼；整体转筒¦rigid steel::硬钢	rigid and authoritarian methods of education::死板、专断的教育方法	adj::严格的；僵硬的，死板的；坚硬的；精确的::strict, precise, wooden, accurate, mathematical	adj::rigorous:: 严格的，严厉的；严密的；严酷的¦adv::rigidly:: 严格地；坚硬地；严厉地；牢牢地¦n::rigidity:: [物] 硬度，[力] 刚性；严格，刻板；僵化；坚硬¦n::rigor:: 严厉；精确；苛刻；僵硬¦n::rigidness:: 坚硬；严厉¦vi::rigidify:: 僵化；固定¦vt::rigidify:: 使…僵化；使…固定		 rig(看作reg， 统治) + id(…的) → 统治的 → 严格的			
