abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃::to leave someone, especially someone you are responsible for	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？	n::狂热；放任::loose, mania¦vt::遗弃；放弃::desert, yield, quit	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandonment:: 抛弃；放纵¦v::abandoned:: 抛弃（abandon的过去式和过去分词）	reclaim	 a + band(乐队) + on → 乐队解散， 放弃演出 → 放弃			
air	ɛr	eə	n::空气::the mixture of gases around the Earth, that we breathe	in the air::在空中；悬而未决；在流传中；不设防¦air conditioning::空调；空气调节¦air pollution::大气污染，空气污染¦by air::乘飞机；通过航空途径¦air ticket::机票¦fresh air::新鲜空气¦air force::空军¦air conditioner::n. 空调设备；空气调节机¦air flow::气流；空气流量；空气流向¦air temperature::气温，空气温度¦hot air::吹牛；大话¦air pressure::气压；风压¦air compressor::空气压缩机¦on the air::在广播，广播中¦compressed air::压缩空气¦air transport::航空运输¦air condition::空调，空气调节设备¦on air::（无线电）广播的；送风期¦air defense::n. 防空¦air traffic::空中交通，航空运输；飞航	Let’s go outside and get some fresh air.::我们出去呼吸些新鲜空气吧。¦You need to put some air in the tyres.::你得给轮胎充气了。	n::[气象]空气，[地物]大气；天空；样子；曲调::atmosphere, heaven, sky, high, look¦vt::使通风，晾干；夸耀::sport, ventilate	adj::airy:: 空气的；通风的；幻想的；轻快的；空中的¦adj::airless:: 不通风的；没有风的；缺少空气的¦adj::airlike:: 似空气的¦n::airing:: 通风；晾干；（开车）兜风¦n::airer:: 干燥器；晾衣架¦n::airiness:: 通风；空虚；微妙¦v::airing:: 风干；烘热（air的ing形式）					
airing	'ɛrɪŋ	'eərɪŋ	n::通风；讨论::an occasion when an opinion, idea etc is discussed	in the air::在空中；悬而未决；在流传中；不设防¦air conditioning::空调；空气调节¦air pollution::大气污染，空气污染¦by air::乘飞机；通过航空途径¦air ticket::机票¦fresh air::新鲜空气¦air force::空军¦air conditioner::n. 空调设备；空气调节机¦air flow::气流；空气流量；空气流向¦air temperature::气温，空气温度¦hot air::吹牛；大话¦air pressure::气压；风压¦air compressor::空气压缩机¦on the air::在广播，广播中¦compressed air::压缩空气¦air transport::航空运输¦air condition::空调，空气调节设备¦on air::（无线电）广播的；送风期¦air defense::n. 防空¦air traffic::空中交通，航空运输；飞航	give them an airing.::把室内盆栽植物搬出去透透气。	n::通风；晾干；（开车）兜风::perflation, aeration¦v::风干；烘热（air的ing形式）::weathering	adj::airy:: 空气的；通风的；幻想的；轻快的；空中的¦adj::airless:: 不通风的；没有风的；缺少空气的¦n::air:: 空气，大气；天空；样子；曲调¦n::airer:: 干燥器；晾衣架¦n::airiness:: 通风；空虚；微妙¦vi::air:: 通风¦vt::air:: 使通风，晾干；夸耀					
aisle	aɪl	aɪl	n::通道::a long passage between rows of seats in a church, plane, theatre etc, or between rows of shelves in a shop	down the aisle::[口语] 沿教堂走道而去(至圣坛举行婚礼)¦aisle seat::n. 靠道座位	Would you like a window seat or an aisle seat (=  seat next to the aisle  ) ?::您想要靠窗的座位还是靠过道的座位？	n::[建]通道，走道；侧廊::door, exit, channel, route, walkway			 ai(看作air， 空气) + sle → 让空气流通的道 → 通道			
alarm	ə'lɑrm	ə'lɑːm	n::警报，惊慌::a piece of equipment that makes a loud noise to warn you of danger¦v::使忧虑::	alarm system::报警系统¦fire alarm::火警；火警警报器¦alarm clock::闹钟¦false alarm::假警报；引起一场空喜欢的人¦burglar alarm::防窃报警器；防盗自动警铃¦fire alarm system::火警信号系统；消防警报系统¦alarm bell::警钟；警铃¦anti-theft alarm::防盗警报系统¦false alarm rate::火灾误报率；误警率；虚率¦alarm signal::警报信号¦alarm device::报警装置；告警装置¦gas alarm::气体信号装置；瓦斯报警器；毒气警报¦alarm equipment::报警器，报警信号装置；防盗报警设备¦ring the alarm::拉警报，敲警钟¦burglar alarm system::防盗警钟系统¦automatic fire alarm system::火灾自动报警系统¦alarm circuit::报警电路¦smoke alarm::烟雾报警器¦in alarm::惊慌，担心¦alarm message::报警信息	I forgot to set the burglar alarm.::我忘记打开防盗警报器了。¦Car alarms are always going off in the street.::街上总有汽车警报器在响。¦a sophisticated alarm system::精密的警报系统	n::警报，[安全]警告器；惊慌::panic, tocsin¦vt::警告；使惊恐::exercise, alert, warn	adj::alarming:: 令人担忧的；使人惊恐的¦adj::alarmed:: 惊恐的；受惊的；焦虑的¦adj::alarmist:: 危言耸听的；忧虑的¦adv::alarmingly:: 惊人地；让人担忧地¦n::alarmist:: 杞人忧天者；大惊小怪者¦n::alarmism:: 危言耸听；大惊小怪¦v::alarming:: 使惊恐（alarm的ing形式）¦v::alarmed:: 报警（alarm的过去式及过去分词）		 al + arm(武器) → 受了惊吓， 拿起武器 → 惊恐			
album	'ælbəm	'ælbəm	n::集邮册；相片册::a book that you put photographs, stamps etc in	photo album::相册；相簿¦debut album::首张专辑；处女专辑¦stamp album::n. 集邮册¦photograph album::相册，影集	a photograph album::相册							
alien	ˈeliən,ˈeljən	'eɪlɪən	n&a::外侨；外国人的；不相容的::someone who is not a legal citizen of the country they are living or working in	alien from::相异的	illegal aliens entering the country.::非法入境的外国人	adj::外国的；相异的，性质不同的；不相容的::foreign, external¦n::外国人，外侨；外星人::foreigner, uitlander¦vt::让渡，转让::transfer, negotiate	adj::alienable:: 可让与的，可转让的¦n::alienation:: 异化；疏远；转让；[内科] 精神错乱；间离效果（alienation effect）¦n::alienage:: 外侨的法律地位；外国人¦n::alienator:: 疏远者；赠予者；转让者¦n::alienee:: 受让人¦n::alienism:: 外侨身份（等于alienage）；精神错乱¦n::alienor:: 让渡人¦vt::alienate:: 使疏远，离间；让与	national				
alienate	'eiljəneit	'eɪlɪəneɪt	v::离间，使疏远::to do something that makes someone unfriendly or unwilling to support you		The latest tax proposals will alienate many voters.::最新的纳税提案将失去远许多选民的支持。	vt::使疏远，离间；让与::release, convey	adj::alien:: 外国的；相异的，性质不同的；不相容的¦adj::alienated:: 疏远的；被疏远的¦adj::alienable:: 可让与的，可转让的¦n::alien:: 外国人，外侨；外星人¦n::alienation:: 异化；疏远；转让；[内科] 精神错乱；间离效果（alienation effect）¦n::alienator:: 疏远者；赠予者；转让者¦n::alienee:: 受让人¦n::alienor:: 让渡人¦v::alienated:: 使疏离（alienate的过去式）¦vt::alien:: 让渡，转让		 ali(其他的) + en + ate(使…) → 使具备其他的性质 → 使疏远， 使不友好			
all	ɔl	ɔːl	adv::完全地::completely¦pron::全部，全体::	all the::◎惟一的，仅有的¦all of::adv. 不少于；实足¦in all::总共，合计¦and all::等等；的确；此外；连…一齐都¦all over::到处，遍及；浑身；全部结束¦all over oneself::◎非常高兴；非常满意¦at all::（否定句）根本；究竟¦after all::毕竟；终究¦above all::首先；尤其是¦all in::疲乏到极点¦first of all::adv. 首先¦all of us::我们所有人（情景喜剧）¦all about::到处，各处；关于…的一切¦all along::自始至终，一直¦all for::完全赞成；急于得到¦for all of::就…来说¦all in all::总而言之；头等重要的东西¦that's all::就这样；说完了¦all out::全力以赴¦over all::全面地；遍及	You shouldn’t be sitting here by yourself, all alone.::你不应该一个人孤零零地坐在这儿。¦a strange woman, dressed all in black::一袭黑衣的奇怪女子¦If people want more freedom of choice, then I’m all for it (=  I strongly support it  ) .::如果民众想要更多选择的自由，我完全支持。¦‘It was a dreadful experience.’ ‘Never mind, it’s all over (=  completely finished  ) now.’::“真是一段可怕的经历。”“没关系，现在都过去了。”	adj::全部的::entire, overall, total¦adv::全然地；越发::utterly, sheerly¦n::全部::full, entirety, allness						
apparent	ə'pærənt	ə'pær(ə)nt	adj::明显的，表面上的::easy to notice	apparent viscosity::表观粘度¦apparent density::表观密度；松装密度¦apparent activation energy::表观活化能¦apparent porosity::显气孔率；虚表孔率¦apparent power::视在功率；表观功率¦heir apparent::[律]法定继承人，有确定继承权的人¦apparent area::可视面积，表面面积¦apparent consumption::表面消费（量）¦apparent diffusion coefficient::表观扩散系数¦apparent velocity::视速度；表观速度¦apparent motion::视运动；表观运动；虚表运动¦apparent size::表观细度；形式大小；表观尺寸，视尺寸¦apparent rate::表面费率；名义费率¦apparent brightness::视亮度；表观亮度	The difference in quality was immediately apparent .::质量的差异显而易见。¦He left suddenly, for no apparent reason .::不知什么原因，他突然离开了。	adj::显然的；表面上的::transparent, decided, patent	adv::apparently:: 显然地；似乎，表面上		 ap + parent(父母) → 父母对儿女的爱是显而易见的 → 显然的			
appeal	ə'pil	ə'piːl	vi&n::呼吁，上诉；吸引(力)::an urgent request for something important	appeal for::vt. 恳求，请求；要求¦sex appeal::性感；吸引力¦appeal against::提出上诉¦court of appeal::上诉法院¦have appeal::引人入胜，有吸引力，有魅力¦emotional appeal::情绪感染；感性诉求¦appeal court::上诉法院¦lasting appeal::持久的吸引力；耐玩度¦right of appeal::上诉权；索赔权¦make an appeal::引起兴趣¦notice of appeal::上诉通知书¦appeal board::上诉委员会	The girl’s family have made a public appeal for help to try and catch her killer.::那名遇害女孩的家人吁请公众协助捉拿凶手。	vi::呼吁，恳求；[法]上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判::attract, clamour for¦n::呼吁，请求；吸引力，感染力；[法]上诉；诉诸裁判::asking, request, motion, charm	adj::appealing:: 吸引人的；动人的；引起兴趣的；恳求似的¦adj::appealable:: 可上诉的¦adv::appealingly:: 上诉地；哀求地；吸引人地¦n::appealingness:: 有感染力；吸引人；哀诉；恳求¦v::appealing:: 恳求（appeal的ing形式）；将…上诉					
appendix	ə'pɛndɪks	ə'pendɪks	n::附录；阑尾::a small organ near your  bowel  , which has little or no use	vermiform appendix::n. 阑尾；蚓突	Christine had to go into hospital to have her appendix out (=  have it removed  ) .::克里丝蒂娜不得不去医院切除阑尾。	n::[图情]附录；阑尾；附加物::supplement, Appendix Appx	adj::appendant:: 附属的；附加的¦n::appendectomy:: [外科] 阑尾切除术¦n::appendant:: 附属物；附属品¦n::appendicectomy:: 阑尾切除术					
appetite	'æpɪtaɪt	'æpɪtaɪt	n::食欲::a desire for food	appetite for::对…的欲望¦loss of appetite::食欲不振¦good appetite::很好的胃口¦risk appetite::风险胃纳¦poor appetite::食欲不振¦appetite for risk::风险偏好；风险容量¦have a good appetite::v. 胃口好	Her husband always had a huge appetite.::她丈夫向来胃口极大。¦Symptoms include tiredness and loss of appetite.::症状包括疲倦和食欲不振。	n::[生理]食欲；嗜好::weakness, habit, hobby	adj::appetizing:: 开胃的；促进食欲的¦adj::appetising:: 促进食欲的；美味可口的；开胃的，诱人的¦adj::appetitive:: 食欲的；有食欲的；开胃的		 ap(向，往) + pet(寻找) + ite → 往到处寻找 → 食欲			
applaud	ə'plɔd	ə'plɔːd	v::鼓掌欢迎；赞成::to hit your open hands together, to show that you have enjoyed a play, concert, speaker etc		The audience applauded loudly.::观众掌声雷动。¦A crowd of 300 supporters warmly applauded her speech.::300名支持者为她的演讲热烈鼓掌。	vt::赞同；称赞；向…喝采::go along with, be favorable to¦vi::喝彩；鼓掌欢迎::cheer for, give it up			 ap(表加强) + plaud(击， 打) → 双手击打 → 鼓掌， 喝彩			
appliance	ə'plaɪəns	ə'plaɪəns	n::用具，设备，装置::	home appliance::家电产品；家用电器¦electric appliance::家用电器；耗电器具¦electrical appliance::电器；电气器具，电气设备；电气用品¦household appliance::家用电器¦appliance industry::器械工业¦household electrical appliance::家用电具，家用电器¦medical appliance::医疗器械¦electrical appliance factory::电工器材厂¦office appliance::办公用品¦kitchen appliance::厨房电器，厨房用具¦lifting appliance::起重机械；起重设备；提升装置；吊具¦heating appliance::加热器	The device most often used to do this is a load balancer, which is an appliance that accepts requests from the outside world and hands them off to the next available application server.::进行这一操作最常用的设备是一个负载均衡器，这是一个从外部接收请求并将它们移交给下一个可用应用程序服务器的装置。¦This provides some of the advantages of an appliance but with the flexibility to distribute as software only, along with the ability to consolidate multiple appliances on the same physical hardware.::这种组合提供了设备的一些好处，同时又具有仅作为软件分发的灵活性，而且还能够将多个设备合并到相同的物理硬件上。	n::器具；器械；[机]装置::device, apparatus, installation, unit, tool			 appli(看作apply， 使用) + ance → 可用的东西 → 用具， 器具			
applicant	'æplɪkənt	'æplɪk(ə)nt	n::请求者，申请者::someone who has formally asked, usually in writing, for a job, university place etc	job applicant::求职人员	We have had lots of applicants for these positions.::对这些职位我们已有了很多申请人。	n::[专利]申请人，申请者；请求者::postulant, proposer	n::application:: 应用；申请；应用程序；敷用					
apply	ə'plaɪ	ə'plaɪ	v::要求，申请::to make a formal request, usually written, for something such as a job, a place at a university, or permission to do something	apply oneself::减少对…之消耗量；努力，致力于…¦apply for::申请，请求¦apply for a job::求职；申请工作¦apply now::立即应用；马上申请；在线申请¦apply for a visa::申请签证¦apply for a patent::申请专利¦apply in person::亲自申请；亲自询问¦apply to customs::报关¦apply for a position::申请职位；谋职¦apply for reimbursement::报销	We need to apply for planning permission to build a garage.::我们建车库需要申请规划许可。	vt::申请；涂，敷；应用::put in for, enter one's name for¦vi::申请；涂，敷；适用；请求::demand, put in for	adj::applied:: 应用的；实用的¦v::applied:: 应用；实施（apply的过去分词）；敷上		 这家服务站免费提供(supply)打气筒给行人使用(apply)			
